NUISANCE_PARAMETERS
BTAG_EXTRAP  -0.144982 +0.992797 -0.992797
BTAG_EXTRAP_FROM_CHARM  0.0104215 +0.989888 -0.989888
Dibosons_XS_4j  0.000520627 +0.993121 -0.993121
Dibosons_XS_5j  0.00499726 +0.992144 -0.992144
Dibosons_XS_6j  -0.0113076 +0.995519 -0.995519
EG_RESOLUTION_ALL  1.64169e-05 +0.993348 -0.993348
EG_SCALE_ALL  -2.48195e-05 +0.993347 -0.993347
ELEC_ID  -3.2146e-07 +0.993347 -0.993347
JET_EffectiveNP_1  -0.275408 +0.953082 -0.953082
JET_EffectiveNP_2  0.0337251 +0.989004 -0.989004
JET_EffectiveNP_3  -0.0262198 +0.993177 -0.993177
JET_EffectiveNP_4  0.0266294 +0.993164 -0.993164
JET_EffectiveNP_6  -1.17261e-06 +0.993347 -0.993347
JET_EffectiveNP_7  0.000607845 +0.993361 -0.993361
JET_EffectiveNP_8restTerm  1.76585e-08 +0.993347 -0.993347
JET_EtaIntercalibration_Modelling  0.133365 +0.980793 -0.980793
JET_EtaIntercalibration_NonClosure  0.0119495 +0.993539 -0.993539
JET_EtaIntercalibration_TotalStat  0.0310543 +0.989404 -0.989404
JET_Flavor_Composition  -0.122726 +0.776437 -0.776437
JET_Flavor_Response  0.129097 +0.96503 -0.96503
JET_JER_SINGLE_NP__1up  -0.28592 +0.756875 -0.756875
JET_Pileup_OffsetMu  0.090513 +0.989432 -0.989432
JET_Pileup_OffsetNPV  0.05688 +0.98819 -0.98819
JET_Pileup_PtTerm  -0.0324586 +0.983057 -0.983057
JET_Pileup_RhoTopology  -0.508104 +0.867993 -0.867993
JET_PunchThrough_MC15  -3.28138e-07 +0.993346 -0.993346
JVT_SF  -0.0248349 +0.98991 -0.98991
Lumi  -0.0132888 +0.967468 -0.967468
MET_SoftTrk_ResoPara  0.139258 +0.98782 -0.98782
MET_SoftTrk_ResoPerp  -0.00796175 +0.993225 -0.993225
MET_SoftTrk_Scale  -0.00308814 +0.993279 -0.993279
MUON_ID  0.00143153 +0.99338 -0.99338
MUON_ID_STAT  7.14196e-05 +0.993346 -0.993346
MUON_ID_SYS  6.76065e-05 +0.993346 -0.993346
MUON_MS  -0.00272752 +0.993291 -0.993291
MUON_SCALE  9.1656e-07 +0.993347 -0.993347
MUON_TRIG_STAT  0.000463203 +0.993344 -0.993344
MUON_TTVA_SYST  7.12368e-05 +0.993347 -0.993347
PILEUP_SYST  0.122565 +0.933094 -0.933094
QCDE_4j_2b  0.361285 +0.830395 -0.830395
QCDE_4j_3b  -0.143459 +0.724074 -0.724074
QCDE_4j_4b  -0.129631 +0.934316 -0.934316
QCDE_5j_2b  -0.179737 +0.689324 -0.689324
QCDE_5j_3b  0.270801 +0.829146 -0.829146
QCDE_5j_4b  -0.0951132 +1.00607 -1.00607
QCDE_6j_2b  -0.425064 +0.855993 -0.855993
QCDE_6j_3b  0.194358 +0.83995 -0.83995
QCDE_6j_4b  -0.329019 +0.951302 -0.951302
QCDMU_4j_2b  0.0727215 +0.973037 -0.973037
QCDMU_4j_3b  -0.45294 +0.884655 -0.884655
QCDMU_4j_4b  -0.0549489 +0.987916 -0.987916
QCDMU_5j_2b  -0.0443175 +0.984381 -0.984381
QCDMU_5j_3b  -0.0590241 +0.997426 -0.997426
QCDMU_5j_4b  -1.04473e-07 +0.993347 -0.993347
QCDMU_6j_2b  -0.0826546 +1.00525 -1.00525
QCDMU_6j_3b  0.118873 +0.956544 -0.956544
QCDMU_6j_4b  -0.0190928 +0.995823 -0.995823
SM4tops_XS  -0.0109291 +0.994652 -0.994652
Singletop_ref_SingletopWtDiagSub_fs  0.190722 +0.994491 -0.994491
Singletop_ref_SingletopWtprod_rad  -0.0245467 +0.993492 -0.993492
Singletop_ref_Singletopschan_rad  -0.000952288 +0.993345 -0.993345
Singletop_ref_Singletoptchan_rad  -0.0231602 +0.991736 -0.991736
TTBB_CSS_KIN  -0.218083 +0.906682 -0.906682
TTBB_GLOSOFT  0.192111 +0.975059 -0.975059
