 |       | 4jex-2bex | 4jex-3bex | 4jex-4bin | 5jex-2bex | 5jex-3bex | 5jex-4bin | 6jin-2bex | 6jin-3bex | 6jin-4bin | 
 | t#bar{t}+light | 82731.6 pm 3743.39 | 4864.82 pm 443.353 | 15.3037 pm 11.7737 | 37928.2 pm 2705 | 3468.45 pm 385.694 | 15.7506 pm 9.31776 | 20031.7 pm 2207.33 | 2547.58 pm 415.229 | 20.7941 pm 18.6547 | 
 | t#bar{t}+cc | 11413.6 pm 4745.82 | 1354.89 pm 558.336 | 5.86827 pm 4.11578 | 8341.88 pm 3373.8 | 1996.21 pm 769.437 | 39.2465 pm 18.1406 | 7794.07 pm 3184.81 | 2975.91 pm 1151.64 | 58.5315 pm 25.1281 | 
 | t#bar{t}+bb | 4274.97 pm 586.681 | 3403.3 pm 355.431 | 109.855 pm 16.9385 | 3410.91 pm 467.915 | 4920.81 pm 465.43 | 355.754 pm 28.8725 | 3395.32 pm 488.592 | 7518.29 pm 767.709 | 1105.48 pm 81.9048 | 
 | topEW | 173.141 pm 27.3722 | 34.8919 pm 5.71662 | 2.67875 pm 0.540039 | 167.465 pm 25.9124 | 65.3104 pm 10.4221 | 8.15336 pm 1.43885 | 212.764 pm 33.8202 | 146.887 pm 23.862 | 26.9491 pm 4.79349 | 
 | ttH | 62.4444 pm 7.53342 | 47.1158 pm 6.06513 | 4.65928 pm 0.676057 | 81.0323 pm 8.86474 | 98.5241 pm 11.579 | 16.5515 pm 2.31589 | 134.587 pm 15.1851 | 240.518 pm 29.1002 | 61.6042 pm 8.77664 | 
 | W+jetslight | 6.12582 pm 6.30201 | 0.0116465 pm 0.0131854 | 4.05447e-06 pm 4.98735e-06 | 2.43672 pm 2.37869 | 0.00827649 pm 0.00936765 | 5.90829e-06 pm 7.22092e-06 | 1.14449 pm 1.08589 | 0.00749858 pm 0.00862511 | 9.96564e-06 pm 1.24703e-05 | 
 | W+jetscharm | 115.305 pm 56.3834 | 1.21567 pm 0.666388 | 0.00240026 pm 0.00148325 | 47.0596 pm 22.8395 | 0.71657 pm 0.39251 | 0.00222823 pm 0.00141395 | 21.4321 pm 10.9827 | 0.608391 pm 0.342486 | 0.00339913 pm 0.00224384 | 
 | W+jetsbeauty | 4726.45 pm 1836.48 | 260.312 pm 104.409 | 2.88562 pm 1.346 | 2051.07 pm 819.003 | 168.887 pm 68.0043 | 6.0271 pm 2.82667 | 1185.98 pm 472.732 | 183.822 pm 75.4584 | 12.5462 pm 5.73829 | 
 | Z+jetslight | 1.61066 pm 1.54715 | 0.00375032 pm 0.00414649 | 1.39446e-06 pm 1.64694e-06 | 0.659446 pm 0.630272 | 0.00250007 pm 0.00279867 | 1.85341e-06 pm 2.26403e-06 | 0.302002 pm 0.273111 | 0.00216257 pm 0.00245868 | 2.97446e-06 pm 3.69548e-06 | 
 | Z+jetscharm | 20.2778 pm 9.77507 | 0.192583 pm 0.105433 | 0.000330274 pm 0.000208386 | 8.36981 pm 4.04635 | 0.127165 pm 0.0699958 | 0.000455404 pm 0.000281893 | 4.46059 pm 2.19994 | 0.124792 pm 0.0687308 | 0.000758631 pm 0.00047388 | 
 | Z+jetsbeauty | 1857.53 pm 727.411 | 102.596 pm 41.3086 | 1.9331 pm 1.03534 | 698.171 pm 274.747 | 74.3953 pm 30.343 | 5.58037 pm 3.22145 | 353.402 pm 146.179 | 56.5389 pm 23.7814 | 3.53814 pm 2.14836 | 
 | Single-top | 6394.03 pm 883.786 | 398.806 pm 70.2783 | 8.12021 pm 3.29235 | 2586.28 pm 545.244 | 325.205 pm 73.1068 | 13.5356 pm 4.21865 | 1247.31 pm 360.081 | 321.943 pm 98.5638 | 27.8892 pm 10.1643 | 
 | Dibosons | 242.502 pm 84.0284 | 16.2373 pm 5.71578 | 0.494856 pm 0.222674 | 111.655 pm 47.8353 | 12.47 pm 5.44917 | 0.764199 pm 0.392172 | 82.228 pm 40.0442 | 16.7013 pm 8.21106 | 1.70033 pm 0.901524 | 
 | SM-4tops | 0.102052 pm 0.0378717 | 0.0964359 pm 0.0364277 | 0.00739477 pm 0.00590938 | 0.367211 pm 0.126578 | 0.491049 pm 0.156563 | 0.0540613 pm 0.0203091 | 5.14473 pm 1.54452 | 19.1387 pm 5.77773 | 4.96117 pm 1.54499 | 
 | QCDE | 7789.54 pm 3437.44 | 600.731 pm 229.327 | 20.0736 pm 14.1015 | 2657.64 pm 935.089 | 486.701 pm 221.708 | 3.606 pm 4.81275 | 1220.05 pm 500.496 | 747.705 pm 336.918 | 28.4241 pm 24.6852 | 
 | QCDMU | 1250.71 pm 637.813 | 209.581 pm 98.6358 | 9.02057 pm 8.46944 | 737.502 pm 369.549 | 71.1185 pm 44.7342 | 2e-05 pm 1.00366e-05 | 307.593 pm 164.21 | 107.547 pm 63.7469 | 8.52575 pm 8.0648 | 
 | Total | 121060 pm 2157.23 | 11294.8 pm 284.411 | 180.903 pm 23.0855 | 58830.7 pm 1376.45 | 11689.4 pm 361.345 | 465.026 pm 29.0489 | 35997.5 pm 1273.84 | 14883.3 pm 502.308 | 1360.95 pm 71.384 | 
 | Data | 120572 | 11275 | 176 | 58557 | 11707 | 466 | 35886 | 14877 | 1335 | 
