 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0440221 / -0.0440221 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.0423951 / -0.0423951 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.00358012 / 0.00358012 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.04905 / -0.04905 | 0.04905 / -0.04905 | 0.04905 / -0.04905 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00341323 / -0.00341323 | 0.00372851 / -0.00372851 | 0.00353807 / -0.00353807 | 0.00385772 / -0.00385772 | 0.00376238 / -0.00376238 | 0.00417092 / -0.00417092 | 0.00433761 / -0.00433761 | 0.00419592 / -0.00419592 | 0.00544394 / -0.00544394 | 0.00546758 / -0.00546758 | 0.0050412 / -0.0050412 | 0.00383848 / -0.00383848 | 0.00453938 / -0.00453938 | 0.00432338 / -0.00432338 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000873842 / -0.000873842 | 0.000850068 / -0.000850068 | 0.000882948 / -0.000882948 | 0.000882787 / -0.000882787 | 0.000882073 / -0.000882073 | 0.000922187 / -0.000922187 | 0.000876449 / -0.000876449 | 0.000971752 / -0.000971752 | 0.000617739 / -0.000617739 | 0.000699446 / -0.000699446 | 0.000721671 / -0.000721671 | 0.000929971 / -0.000929971 | 0.000942512 / -0.000942512 | 0.00103823 / -0.00103823 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (syst.) | 0.00340243 / -0.00340243 | 0.00328388 / -0.00328388 | 0.00345943 / -0.00345943 | 0.00361417 / -0.00361417 | 0.0035729 / -0.0035729 | 0.00413005 / -0.00413005 | 0.00398743 / -0.00398743 | 0.00444996 / -0.00444996 | 0.00292678 / -0.00292678 | 0.00341091 / -0.00341091 | 0.00332636 / -0.00332636 | 0.00382318 / -0.00382318 | 0.00425984 / -0.00425984 | 0.00403161 / -0.00403161 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00263356 / -0.00263356 | 0.00263143 / -0.00263143 | 0.00272473 / -0.00272473 | 0.00268789 / -0.00268789 | 0.00267349 / -0.00267349 | 0.00256523 / -0.00256523 | 0.00260498 / -0.00260498 | 0.00267594 / -0.00267594 | 0.00177917 / -0.00177917 | 0.00184361 / -0.00184361 | 0.00199317 / -0.00199317 | 0.00282882 / -0.00282882 | 0.00289922 / -0.00289922 | 0.00278346 / -0.00278346 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000390992 / -0.000390992 | 0.000357859 / -0.000357859 | 0.000363322 / -0.000363322 | 0.000376497 / -0.000376497 | 0.000394535 / -0.000394535 | 0.000230251 / -0.000230251 | 0.00024232 / -0.00024232 | 0.000215386 / -0.000215386 | 0.000168377 / -0.000168377 | 0.000160057 / -0.000160057 | 0.000200548 / -0.000200548 | 0.000373809 / -0.000373809 | 0.00039233 / -0.00039233 | 0.000407755 / -0.000407755 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Pile-up uncertainty | 0.0148402 / -0.0148402 | 0.0013705 / -0.0013705 | -0.00902809 / 0.00902809 | -0.00450701 / 0.00450701 | -0.00365906 / 0.00365906 | 0.0174945 / -0.0174945 | 0.0148438 / -0.0148438 | -0.0387565 / 0.0387565 | 0.00395652 / -0.00395652 | -0.021401 / 0.021401 | 0.00958402 / -0.00958402 | -0.0138667 / 0.0138667 | 0.0259831 / -0.0259831 | 0.00586054 / -0.00586054 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 0 | -0.0453555 / 0.0453555 | -0.0437005 / 0.0437005 | -0.0648096 / 0.0648096 | -0.0497675 / 0.0497675 | -0.0492736 / 0.0492736 | 0 / 0 | 0 / 0 | -0.0759672 / 0.0759672 | 0 / 0 | 0 / 0 | -0.0755969 / 0.0755969 | -0.0604919 / 0.0604919 | -0.0698393 / 0.0698393 | -0.0478379 / 0.0478379 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 1 | -0.0167502 / 0.0167502 | -0.0174622 / 0.0174622 | -0.0215227 / 0.0215227 | -0.0229188 / 0.0229188 | -0.0218598 / 0.0218598 | 0 / 0 | 0 / 0 | -0.0155564 / 0.0155564 | 0 / 0 | 0 / 0 | -0.0191333 / 0.0191333 | -0.0199 / 0.0199 | -0.0157404 / 0.0157404 | -0.0372713 / 0.0372713 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 2 | 0.0125794 / -0.0125794 | 0.0116763 / -0.0116763 | 0.0149981 / -0.0149981 | 0.0114094 / -0.0114094 | 0.0122686 / -0.0122686 | 0 / 0 | 0 / 0 | 0.0127132 / -0.0127132 | 0 / 0 | 0 / 0 | 0.0118912 / -0.0118912 | 0.0108138 / -0.0108138 | 0.0124552 / -0.0124552 | 0.00726038 / -0.00726038 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 3 | 0.000223894 / -0.000223894 | 0.000408214 / -0.000408214 | -0.000295185 / 0.000295185 | 0.000784885 / -0.000784885 | 0.000849161 / -0.000849161 | 0 / 0 | 0 / 0 | -0.0027875 / 0.0027875 | 0 / 0 | 0 / 0 | -0.00183146 / 0.00183146 | -0.000686133 / 0.000686133 | -0.00167909 / 0.00167909 | 0.00154262 / -0.00154262 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 0 | -0.0889321 / 0.0889321 | -0.111121 / 0.111121 | -0.00338592 / 0.00338592 | -0.0226712 / 0.0226712 | -0.00355756 / 0.00355756 | -0.000417843 / 0.000417843 | -0.28185 / 0.28185 | -0.0278843 / 0.0278843 | -0.0205121 / 0.0205121 | -0.282653 / 0.282653 | -0.014169 / 0.014169 | -0.044211 / 0.044211 | -0.0256563 / 0.0256563 | -0.00515058 / 0.00515058 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
