 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.050409 / -0.050409 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.0150823 / -0.0150823 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0305039 / 0.0305039 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.04905 / -0.04905 | 0.04905 / -0.04905 | 0.0490501 / -0.0490501 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.0026541 / -0.0026541 | 0.00296114 / -0.00296114 | 0.00359043 / -0.00359043 | 0.0037488 / -0.0037488 | 0.00372892 / -0.00372892 | 0.00419157 / -0.00419157 | 0.00446707 / -0.00446707 | 0.00429712 / -0.00429712 | 0.00540943 / -0.00540943 | 0.00520466 / -0.00520466 | 0.00719882 / -0.00719882 | 0.00313278 / -0.00313278 | 0.00956831 / -0.00956831 | 0.00467733 / -0.00467733 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000858704 / -0.000858704 | 0.000998382 / -0.000998382 | 0.000847326 / -0.000847326 | 0.000814468 / -0.000814468 | 0.000879071 / -0.000879071 | 0.000915931 / -0.000915931 | 0.000899787 / -0.000899787 | 0.00102933 / -0.00102933 | 0.00063219 / -0.00063219 | 0.00082438 / -0.00082438 | 0.000456396 / -0.000456396 | 0.00125749 / -0.00125749 | 0.00073424 / -0.00073424 | 0.000720927 / -0.000720927 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (syst.) | 0.00295974 / -0.00295974 | 0.003878 / -0.003878 | 0.00331963 / -0.00331963 | 0.00358704 / -0.00358704 | 0.00351051 / -0.00351051 | 0.00414449 / -0.00414449 | 0.00407031 / -0.00407031 | 0.00452328 / -0.00452328 | 0.00300753 / -0.00300753 | 0.00417284 / -0.00417284 | 0.00258112 / -0.00258112 | 0.0040272 / -0.0040272 | 0.00304111 / -0.00304111 | 0.00320542 / -0.00320542 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00290754 / -0.00290754 | 0.00257262 / -0.00257262 | 0.00250005 / -0.00250005 | 0.00270496 / -0.00270496 | 0.00264625 / -0.00264625 | 0.0025469 / -0.0025469 | 0.00273629 / -0.00273629 | 0.00247055 / -0.00247055 | 0.00182794 / -0.00182794 | 0.00198678 / -0.00198678 | 0.00115548 / -0.00115548 | 0.00290815 / -0.00290815 | 0.00277528 / -0.00277528 | 0.00284885 / -0.00284885 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000577901 / -0.000577901 | 0.000364122 / -0.000364122 | 0.000415421 / -0.000415421 | 0.000361088 / -0.000361088 | 0.000388287 / -0.000388287 | 0.000230382 / -0.000230382 | 0.000269021 / -0.000269021 | 0.000156653 / -0.000156653 | 0.000176178 / -0.000176178 | 0.000128358 / -0.000128358 | 0.00016088 / -0.00016088 | 0.000373582 / -0.000373582 | 0.000349814 / -0.000349814 | 0.000235212 / -0.000235212 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Pile-up uncertainty | -0.0625205 / 0.0625205 | 0.182474 / -0.182474 | 0.00758284 / -0.00758284 | -0.0140957 / 0.0140957 | -0.0271746 / 0.0271746 | 0.0175224 / -0.0175224 | 0.00833237 / -0.00833237 | -0.0690448 / 0.0690448 | 0.00141372 / -0.00141372 | -0.0321044 / 0.0321044 | 0.188713 / -0.188713 | 0.0554309 / -0.0554309 | 0.0113821 / -0.0113821 | -0.0805436 / 0.0805436 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 0 | -0.0471608 / 0.0471608 | -0.0523671 / 0.0523671 | -0.0907119 / 0.0907119 | -0.0861769 / 0.0861769 | -0.0858031 / 0.0858031 | 0 / 0 | 0 / 0 | -0.112941 / 0.112941 | 0 / 0 | 0 / 0 | -0.100736 / 0.100736 | -0.0994796 / 0.0994796 | -0.108778 / 0.108778 | -0.080566 / 0.080566 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 1 | -0.0174037 / 0.0174037 | -0.0139647 / 0.0139647 | -0.0300025 / 0.0300025 | -0.0374792 / 0.0374792 | -0.036012 / 0.036012 | 0 / 0 | 0 / 0 | -0.0238974 / 0.0238974 | 0 / 0 | 0 / 0 | -0.0365517 / 0.0365517 | -0.0277693 / 0.0277693 | -0.0259612 / 0.0259612 | -0.0569163 / 0.0569163 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 2 | 0.0133532 / -0.0133532 | 0.0122257 / -0.0122257 | 0.0206891 / -0.0206891 | 0.0202879 / -0.0202879 | 0.0221293 / -0.0221293 | 0 / 0 | 0 / 0 | 0.0171447 / -0.0171447 | 0 / 0 | 0 / 0 | 0.0157372 / -0.0157372 | 0.019509 / -0.019509 | 0.0187173 / -0.0187173 | 0.00978022 / -0.00978022 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 3 | -0.000598099 / 0.000598099 | -0.00294005 / 0.00294005 | 0.000104406 / -0.000104406 | 0.00069315 / -0.00069315 | 0.000855051 / -0.000855051 | 0 / 0 | 0 / 0 | -0.00438593 / 0.00438593 | 0 / 0 | 0 / 0 | -0.00236381 / 0.00236381 | -0.00273638 / 0.00273638 | -0.00300162 / 0.00300162 | 0.00299107 / -0.00299107 | 0 / 0 | 0 / 0 | -nan / -nan |
