 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.165215 / -0.165215 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.241517 / -0.241517 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | 0.108657 / -0.108657 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00345046 / -0.00345046 | 0.00354616 / -0.00354616 | 0.00395706 / -0.00395706 | 0.00446142 / -0.00446142 | 0.00395237 / -0.00395237 | 0.00466486 / -0.00466486 | 0.00435457 / -0.00435457 | 0.00484281 / -0.00484281 | 0.00641971 / -0.00641971 | 0.00645394 / -0.00645394 | 0.00636599 / -0.00636599 | 0.00402928 / -0.00402928 | 0.00562529 / -0.00562529 | 0.00469029 / -0.00469029 | 0 / 0 | 0 / 0 | 0.00349662 / -0.00349662 |
 | Electron isol. | 0.000655042 / -0.000655042 | 0.000801887 / -0.000801887 | 0.00105807 / -0.00105807 | 0.00165497 / -0.00165497 | 0.00124975 / -0.00124975 | 0.00143464 / -0.00143464 | 0.00156113 / -0.00156113 | 0.00149999 / -0.00149999 | 0.00205757 / -0.00205757 | 0.00221141 / -0.00221141 | 0.00206926 / -0.00206926 | 0.00180092 / -0.00180092 | 0.00258435 / -0.00258435 | 0.00216211 / -0.00216211 | 0 / 0 | 0 / 0 | 0.000873907 / -0.000873907 |
 | Electron reco. | 0.000662892 / -0.000662892 | 0.000678741 / -0.000678741 | 0.000743074 / -0.000743074 | 0.000797505 / -0.000797505 | 0.000736299 / -0.000736299 | 0.000783103 / -0.000783103 | 0.000745488 / -0.000745488 | 0.000817612 / -0.000817612 | 0.00109027 / -0.00109027 | 0.00112549 / -0.00112549 | 0.00105175 / -0.00105175 | 0.000728006 / -0.000728006 | 0.000848253 / -0.000848253 | 0.000840188 / -0.000840188 | 0 / 0 | 0 / 0 | 0.000750335 / -0.000750335 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000900891 / -0.000900891 | 0.000901598 / -0.000901598 | 0.000895605 / -0.000895605 | 0.000885298 / -0.000885298 | 0.000886568 / -0.000886568 | 0.000861272 / -0.000861272 | 0.000980315 / -0.000980315 | 0.000898342 / -0.000898342 | 0.000588764 / -0.000588764 | 0.000597548 / -0.000597548 | 0.000601333 / -0.000601333 | 0.000940048 / -0.000940048 | 0.000859477 / -0.000859477 | 0.000848674 / -0.000848674 | 0 / 0 | 0 / 0 | 0.000954411 / -0.000954411 |
