 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.128381 / -0.128381 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.16828 / -0.16828 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | 0.0887668 / -0.0887668 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212812 / -0.0212812 | 0.0212812 / -0.0212812 | 0.0212812 / -0.0212812 | 0.0212812 / -0.0212812 | 0.0212813 / -0.0212813 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.0490501 / -0.0490501 | 0.0490501 / -0.0490501 | 0.0490501 / -0.0490501 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00342756 / -0.00342756 | 0.00352263 / -0.00352263 | 0.00393066 / -0.00393066 | 0.00443181 / -0.00443181 | 0.00392607 / -0.00392607 | 0.00463369 / -0.00463369 | 0.00432572 / -0.00432572 | 0.00481063 / -0.00481063 | 0.00637695 / -0.00637695 | 0.00641099 / -0.00641099 | 0.00632364 / -0.00632364 | 0.00400239 / -0.00400239 | 0.00558773 / -0.00558773 | 0.00465921 / -0.00465921 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000894904 / -0.000894904 | 0.00089559 / -0.00089559 | 0.00088957 / -0.00088957 | 0.000879377 / -0.000879377 | 0.000880599 / -0.000880599 | 0.000855535 / -0.000855535 | 0.000973731 / -0.000973731 | 0.000892282 / -0.000892282 | 0.00058493 / -0.00058493 | 0.000593513 / -0.000593513 | 0.000597298 / -0.000597298 | 0.000933766 / -0.000933766 | 0.000853807 / -0.000853807 | 0.000842988 / -0.000842988 | 0 / 0 | 0 / 0 | -nan / -nan |
