 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.107606 / -0.107606 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.832502 / -0.832502 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | 0.080414 / -0.080414 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0.0212814 / -0.0212814 | 0.0212813 / -0.0212813 | 0.0212813 / -0.0212813 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.0490501 / -0.0490501 | 0.0490501 / -0.0490501 | 0.04905 / -0.04905 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00297889 / -0.00297889 | 0.00300142 / -0.00300142 | 0.00355477 / -0.00355477 | 0.00381105 / -0.00381105 | 0.00373588 / -0.00373588 | 0.00424132 / -0.00424132 | 0.00414444 / -0.00414444 | 0.00349903 / -0.00349903 | 0.0060153 / -0.0060153 | 0.00635979 / -0.00635979 | 0.00578724 / -0.00578724 | 0.00371884 / -0.00371884 | 0.00420484 / -0.00420484 | 0.00409692 / -0.00409692 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.00107731 / -0.00107731 | 0.00101947 / -0.00101947 | 0.000937393 / -0.000937393 | 0.000880741 / -0.000880741 | 0.000881334 / -0.000881334 | 0.000939151 / -0.000939151 | 0.00108679 / -0.00108679 | 0.00113732 / -0.00113732 | 0.00068377 / -0.00068377 | 0.000587833 / -0.000587833 | 0.000631899 / -0.000631899 | 0.00080144 / -0.00080144 | 0.000845783 / -0.000845783 | 0.000904065 / -0.000904065 | 0 / 0 | 0 / 0 | -nan / -nan |
