NUISANCE_PARAMETERS
SigXsecOverSM  -0.0429933 +0.476988 -0.476988
BTAG_EXTRAP  -0.14444 +0.992943 -0.992943
BTAG_EXTRAP_FROM_CHARM  0.0130414 +0.990268 -0.990268
Dibosons_XS_4j  0.00059881 +0.993065 -0.993065
Dibosons_XS_5j  0.00501544 +0.99212 -0.99212
Dibosons_XS_6j  -0.011052 +0.995377 -0.995377
EG_RESOLUTION_ALL  1.30347e-05 +0.993347 -0.993347
EG_SCALE_ALL  -2.76644e-05 +0.993347 -0.993347
ELEC_ID  2.9002e-06 +0.993347 -0.993347
JET_EffectiveNP_1  -0.282563 +0.958588 -0.958588
JET_EffectiveNP_2  0.0350475 +0.989109 -0.989109
JET_EffectiveNP_3  -0.0257386 +0.993189 -0.993189
JET_EffectiveNP_4  0.0261408 +0.993174 -0.993174
JET_EffectiveNP_6  -8.76529e-05 +0.993343 -0.993343
JET_EffectiveNP_7  0.000904037 +0.993336 -0.993336
JET_EffectiveNP_8restTerm  1.54274e-06 +0.993346 -0.993346
JET_EtaIntercalibration_Modelling  0.128493 +0.981971 -0.981971
JET_EtaIntercalibration_NonClosure  0.0119704 +0.993543 -0.993543
JET_EtaIntercalibration_TotalStat  0.0305377 +0.989456 -0.989456
JET_Flavor_Composition  -0.148093 +0.821381 -0.821381
JET_Flavor_Response  0.141948 +0.974937 -0.974937
JET_JER_SINGLE_NP__1up  -0.294473 +0.760695 -0.760695
JET_Pileup_OffsetMu  0.0887481 +0.989624 -0.989624
JET_Pileup_OffsetNPV  0.0500466 +0.990405 -0.990405
JET_Pileup_PtTerm  -0.0339554 +0.983246 -0.983246
JET_Pileup_RhoTopology  -0.526811 +0.892765 -0.892765
JET_PunchThrough_MC15  5.6788e-07 +0.993347 -0.993347
JVT_SF  -0.0242742 +0.990001 -0.990001
Lumi  -0.0198679 +0.970811 -0.970811
MET_SoftTrk_ResoPara  0.138344 +0.987865 -0.987865
MET_SoftTrk_ResoPerp  -0.00823651 +0.993261 -0.993261
MET_SoftTrk_Scale  -0.0032246 +0.993294 -0.993294
MUON_ID  0.00139267 +0.993378 -0.993378
MUON_ID_STAT  7.28401e-05 +0.993347 -0.993347
MUON_ID_SYS  6.47859e-05 +0.993346 -0.993346
MUON_MS  -0.00284909 +0.993308 -0.993308
MUON_SCALE  -4.7301e-07 +0.993346 -0.993346
MUON_TRIG_STAT  0.000508363 +0.993344 -0.993344
MUON_TTVA_SYST  7.09808e-05 +0.993347 -0.993347
PILEUP_SYST  0.123564 +0.933038 -0.933038
QCDE_4j_2b  0.353068 +0.831661 -0.831661
QCDE_4j_3b  -0.132723 +0.736221 -0.736221
QCDE_4j_4b  -0.129585 +0.934617 -0.934617
QCDE_5j_2b  -0.187056 +0.700618 -0.700618
QCDE_5j_3b  0.280102 +0.837598 -0.837598
QCDE_5j_4b  -0.0935263 +1.00604 -1.00604
QCDE_6j_2b  -0.419945 +0.862262 -0.862262
QCDE_6j_3b  0.202334 +0.847792 -0.847792
QCDE_6j_4b  -0.328324 +0.952185 -0.952185
QCDMU_4j_2b  0.0709132 +0.970659 -0.970659
QCDMU_4j_3b  -0.442729 +0.896356 -0.896356
QCDMU_4j_4b  -0.0523173 +0.9877 -0.9877
QCDMU_5j_2b  -0.0457729 +0.98599 -0.98599
QCDMU_5j_3b  -0.0619056 +0.998528 -0.998528
QCDMU_5j_4b  9.62413e-07 +0.993347 -0.993347
QCDMU_6j_2b  -0.0816379 +1.00434 -1.00434
QCDMU_6j_3b  0.119959 +0.956567 -0.956567
QCDMU_6j_4b  -0.0188078 +0.995784 -0.995784
SM4tops_XS  -0.01075 +0.994654 -0.994654
Singletop_ref_SingletopWtDiagSub_fs  0.192462 +0.994283 -0.994283
Singletop_ref_SingletopWtprod_rad  -0.0241341 +0.993487 -0.993487
Singletop_ref_Singletopschan_rad  -0.000987448 +0.993345 -0.993345
Singletop_ref_Singletoptchan_rad  -0.0215984 +0.991812 -0.991812
TTBB_CSS_KIN  -0.213026 +0.911473 -0.911473
TTBB_GLOSOFT  0.187518 +0.976306 -0.976306
TTBB_MSTW  -0.110495 +0.99051 -0.99051
TTBB_Q_CMMPS  0.176079 +0.985909 -0.985909
TTBB_SCALE  0.180528 +0.977672 -0.977672
TTBB_UE  0.10927 +0.991439 -0.991439
Vjets_XS  0.0236865 +0.949082 -0.949082
Vjets_beautyXS  0.0236541 +0.948145 -0.948145
Vjets_charmXS  9.94015e-05 +0.993276 -0.993276
btag_B_EV_0  0.766779 +0.598786 -0.598786
btag_B_EV_1  0.247896 +0.970587 -0.970587
btag_B_EV_2  0.0072849 +0.987902 -0.987902
btag_B_EV_3  5.97781e-06 +0.993347 -0.993347
btag_C_EV_0  -0.763298 +0.505089 -0.505089
btag_L_EV_0  -0.433177 +0.819018 -0.819018
btag_L_EV_1  -0.000703069 +0.993336 -0.993336
btag_L_EV_11  -0.0343246 +0.971081 -0.971081
btag_L_EV_13  -0.0270038 +0.94898 -0.94898
btag_L_EV_14  0.0345966 +0.986021 -0.986021
btag_L_EV_15  0.000737747 +0.993182 -0.993182
btag_L_EV_16  -0.192811 +0.99026 -0.99026
btag_L_EV_2  6.95092e-05 +0.993347 -0.993347
btag_L_EV_3  0.000997751 +0.993336 -0.993336
btag_L_EV_5  -7.17604e-05 +0.993347 -0.993347
btag_L_EV_6  6.83906e-05 +0.993347 -0.993347
signal_PS  0.00242965 +0.98343 -0.98343
signal_generator  -0.00693407 +0.996825 -0.996825
signal_isr  -0.00377886 +0.99414 -0.99414
singletop_XS  0.00218311 +0.99423 -0.99423
topEW_XS  -0.00921742 +0.993708 -0.993708
ttH_XS  0.00180795 +0.991835 -0.991835
ttbar_XS  -0.0530239 +0.861707 -0.861707
ttbarbb_PS  -0.489529 +0.762971 -0.762971
ttbarbb_flavour  0.207924 +0.683804 -0.683804
ttbarbb_generator  -0.475653 +0.613609 -0.613609
ttbarbb_isr  -0.481992 +0.752324 -0.752324
ttbarcc_PS  0.536319 +0.895683 -0.895683
ttbarcc_XS  0.678758 +0.793974 -0.793974
ttbarcc_generator  0.722382 +0.835516 -0.835516
ttbarcc_isr  -0.00413244 +0.960723 -0.960723
ttbarlight_PS  0.236545 +0.805693 -0.805693
ttbarlight_generator  -0.166732 +0.821953 -0.821953
ttbarlight_isr  -0.227867 +0.831645 -0.831645
gamma_stat_c1lep4jex2bex_bin_0  1.00013 +0.00303208 -0.00303208
gamma_stat_c1lep4jex3bex_bin_0  1.0215 +0.023171 -0.023171
gamma_stat_c1lep4jex3bex_bin_1  0.991781 +0.0225798 -0.0225798
gamma_stat_c1lep4jex3bex_bin_2  0.99024 +0.0229246 -0.0229246
gamma_stat_c1lep4jex3bex_bin_3  1.02128 +0.0233543 -0.0233543
gamma_stat_c1lep4jex3bex_bin_4  0.985163 +0.0221381 -0.0221381
gamma_stat_c1lep4jex3bex_bin_5  0.985423 +0.0211378 -0.0211378
gamma_stat_c1lep4jex3bex_bin_6  1.00525 +0.0242706 -0.0242706
