 |       | 4jex-2bex | 4jex-3bex | 4jex-4bin | 5jex-2bex | 5jex-3bex | 5jex-4bin | 6jin-2bex | 6jin-3bex | 6jin-4bin | 
 | t#bar{t}+light | 82845.9 pm 4191.85 | 4876.76 pm 501.636 | 15.5023 pm 12.3028 | 38012.6 pm 3128.71 | 3483.9 pm 466.698 | 15.8022 pm 9.49199 | 20096.7 pm 2531.65 | 2562.53 pm 491.271 | 21.4468 pm 23.4984 | 
 | t#bar{t}+cc | 11400 pm 4887.9 | 1360.1 pm 565.564 | 5.94047 pm 4.25326 | 8311.77 pm 3520.68 | 2000.89 pm 780.569 | 39.4621 pm 18.4738 | 7750.5 pm 3352.71 | 2974.4 pm 1173.97 | 58.8447 pm 25.671 | 
 | t#bar{t}+bb | 4284.48 pm 592.115 | 3403.26 pm 353.025 | 109.946 pm 16.8869 | 3415.95 pm 467.024 | 4917.61 pm 460.154 | 355.879 pm 28.7979 | 3396.38 pm 482.853 | 7517.33 pm 766.8 | 1105.78 pm 83.3295 | 
 | topEW | 173.513 pm 27.6992 | 35.0108 pm 5.8841 | 2.68504 pm 0.54471 | 167.542 pm 25.9028 | 65.4134 pm 10.4831 | 8.1585 pm 1.43202 | 212.274 pm 34.0437 | 146.736 pm 23.793 | 26.9001 pm 4.77355 | 
 | ttH | 62.6374 pm 7.83319 | 47.2558 pm 6.24357 | 4.67124 pm 0.684293 | 81.125 pm 8.92534 | 98.6353 pm 11.6012 | 16.5663 pm 2.29956 | 134.283 pm 15.464 | 239.948 pm 29.4611 | 61.4684 pm 8.75464 | 
 | W+jetslight | 6.1336 pm 6.31334 | 0.0116485 pm 0.0131938 | 4.05355e-06 pm 4.99067e-06 | 2.43781 pm 2.37932 | 0.0082768 pm 0.00937337 | 5.90626e-06 pm 7.22549e-06 | 1.14104 pm 1.07961 | 0.00748122 pm 0.0085961 | 9.93564e-06 pm 1.24269e-05 | 
 | W+jetscharm | 116.205 pm 59.336 | 1.23128 pm 0.746056 | 0.0024402 pm 0.00177021 | 47.3914 pm 23.9413 | 0.724028 pm 0.430586 | 0.00225932 pm 0.00162516 | 21.4785 pm 11.1851 | 0.613245 pm 0.367519 | 0.00343852 pm 0.0025106 | 
 | W+jetsbeauty | 4726.21 pm 1836.34 | 260.722 pm 104.695 | 2.88981 pm 1.34734 | 2047.29 pm 818.158 | 169.025 pm 68.0819 | 6.02499 pm 2.82343 | 1182.94 pm 472.32 | 183.637 pm 75.3516 | 12.5256 pm 5.727 | 
 | Z+jetslight | 1.6136 pm 1.55208 | 0.00375869 pm 0.00416768 | 1.39758e-06 pm 1.65619e-06 | 0.660099 pm 0.631076 | 0.00250452 pm 0.00281062 | 1.85667e-06 pm 2.27538e-06 | 0.301938 pm 0.272929 | 0.00216152 pm 0.00245911 | 2.97083e-06 pm 3.69504e-06 | 
 | Z+jetscharm | 20.4352 pm 10.3151 | 0.194919 pm 0.117146 | 0.000335712 pm 0.000245841 | 8.4355 pm 4.26127 | 0.128524 pm 0.0768793 | 0.000462529 pm 0.000332929 | 4.48254 pm 2.27427 | 0.126082 pm 0.0751513 | 0.000769429 pm 0.000545109 | 
 | Z+jetsbeauty | 1855.81 pm 726.854 | 102.616 pm 41.3097 | 1.93486 pm 1.03531 | 697.466 pm 274.516 | 74.4819 pm 30.3853 | 5.61523 pm 3.25619 | 352.092 pm 146.124 | 56.4242 pm 23.7334 | 3.4745 pm 2.17451 | 
 | Single-top | 6381.22 pm 885.113 | 399.607 pm 71.404 | 8.18061 pm 3.39484 | 2576.53 pm 548.887 | 325.298 pm 72.9207 | 13.5136 pm 4.20447 | 1239.51 pm 364.164 | 320.996 pm 98.2455 | 27.779 pm 10.1227 | 
 | Dibosons | 241.784 pm 84.0429 | 16.2441 pm 5.71612 | 0.495344 pm 0.222611 | 111.156 pm 47.8556 | 12.4395 pm 5.43722 | 0.762558 pm 0.391318 | 81.8407 pm 40.0188 | 16.6495 pm 8.19213 | 1.69053 pm 0.900296 | 
 | SM-4tops | 0.102591 pm 0.0384966 | 0.0969286 pm 0.0370062 | 0.0075197 pm 0.00617004 | 0.370247 pm 0.131963 | 0.492893 pm 0.158354 | 0.0541635 pm 0.0203327 | 5.14211 pm 1.54412 | 19.1277 pm 5.77236 | 4.95833 pm 1.54097 | 
 | QCDE | 7764.72 pm 3429.04 | 604.567 pm 233.932 | 20.0741 pm 14.1034 | 2645.66 pm 942.842 | 488.552 pm 225.005 | 3.60926 pm 4.81359 | 1224.61 pm 505.51 | 750.291 pm 341.548 | 28.4377 pm 24.6942 | 
 | QCDMU | 1249.61 pm 635.577 | 211.163 pm 100.134 | 9.03359 pm 8.47382 | 736.919 pm 369.678 | 71.0056 pm 44.6986 | 2e-05 pm 1.00366e-05 | 307.769 pm 164.21 | 107.601 pm 63.7808 | 8.52704 pm 8.06522 | 
 | t#rightarrow Hc | -41.3493 pm 2.19773 | -25.154 pm 1.71134 | -0.519194 pm 0.149156 | -25.4783 pm 2.09826 | -18.9684 pm 1.89817 | -0.555763 pm 0.153039 | -15.0656 pm 1.66578 | -12.4407 pm 1.72397 | -1.17541 pm 0.234336 | 
 | Total | 121130 pm 2239.1 | 11318.8 pm 413.449 | 181.363 pm 24.0046 | 58863.3 pm 1460.61 | 11708.6 pm 438.063 | 465.451 pm 29.8603 | 36011.4 pm 1318.36 | 14896.4 pm 550.482 | 1361.84 pm 76.7609 | 
 | Data | 120572 | 11275 | 176 | 58557 | 11707 | 466 | 35886 | 14877 | 1335 | 
