 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.04033 / -0.04033 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | 0.0537668 / -0.0537668 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | -0.0107325 / 0.0107325 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213533 / -0.0213533 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213535 / -0.0213535 | 0.0213535 / -0.0213535 | 0.0213535 / -0.0213535 | 0.0213535 / -0.0213535 | 0.0213533 / -0.0213533 | 0 / 0 | 0 / 0 | 0.0213534 / -0.0213534 |
 | t#bar{t} inclusive cross section | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501229 / -0.0501229 |
 | Electron ID | 0.00329924 / -0.00329924 | 0.00343791 / -0.00343791 | 0.00355053 / -0.00355053 | 0.00390965 / -0.00390965 | 0.00388724 / -0.00388724 | 0.00376245 / -0.00376245 | 0.00381115 / -0.00381115 | 0.00409344 / -0.00409344 | 0.0052906 / -0.0052906 | 0.0049645 / -0.0049645 | 0.00516716 / -0.00516716 | 0.00350231 / -0.00350231 | 0.00436229 / -0.00436229 | 0.00507063 / -0.00507063 | 0 / 0 | 0 / 0 | 0.00351787 / -0.00351787 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000882924 / -0.000882924 | 0.000858992 / -0.000858992 | 0.000880778 / -0.000880778 | 0.000872344 / -0.000872344 | 0.000862449 / -0.000862449 | 0.000927091 / -0.000927091 | 0.000877172 / -0.000877172 | 0.000899851 / -0.000899851 | 0.000610173 / -0.000610173 | 0.000650585 / -0.000650585 | 0.000583023 / -0.000583023 | 0.000890255 / -0.000890255 | 0.000865877 / -0.000865877 | 0.00086686 / -0.00086686 | 0 / 0 | 0 / 0 | 0.000884742 / -0.000884742 |
 | Muon ID (syst.) | 0.00335008 / -0.00335008 | 0.00323945 / -0.00323945 | 0.00343624 / -0.00343624 | 0.003766 / -0.003766 | 0.00350916 / -0.00350916 | 0.00396898 / -0.00396898 | 0.00385267 / -0.00385267 | 0.00407621 / -0.00407621 | 0.00258866 / -0.00258866 | 0.00294462 / -0.00294462 | 0.0025475 / -0.0025475 | 0.00353491 / -0.00353491 | 0.00383627 / -0.00383627 | 0.00373378 / -0.00373378 | 0 / 0 | 0 / 0 | 0.00338915 / -0.00338915 |
 | Muon Trig. (stat.) | 0.00268206 / -0.00268206 | 0.00262523 / -0.00262523 | 0.00266257 / -0.00266257 | 0.00265762 / -0.00265762 | 0.00258157 / -0.00258157 | 0.00264221 / -0.00264221 | 0.0026339 / -0.0026339 | 0.00256997 / -0.00256997 | 0.00170228 / -0.00170228 | 0.00191617 / -0.00191617 | 0.00177228 / -0.00177228 | 0.00270766 / -0.00270766 | 0.00242132 / -0.00242132 | 0.00242639 / -0.00242639 | 0 / 0 | 0 / 0 | 0.00271758 / -0.00271758 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (syst.) | 0.000381321 / -0.000381321 | 0.000380576 / -0.000380576 | 0.000364751 / -0.000364751 | 0.00035435 / -0.00035435 | 0.000345647 / -0.000345647 | 0.000223905 / -0.000223905 | 0.000256419 / -0.000256419 | 0.000213712 / -0.000213712 | 0.000192165 / -0.000192165 | 0.000225872 / -0.000225872 | 0.000206947 / -0.000206947 | 0.000388324 / -0.000388324 | 0.000281543 / -0.000281543 | 0.000206292 / -0.000206292 | 0 / 0 | 0 / 0 | 0.000385314 / -0.000385314 |
 | Pile-up uncertainty | -0.00524196 / 0.00524196 | -0.00672996 / 0.00672996 | -0.00226113 / 0.00226113 | -0.00309345 / 0.00309345 | -0.00901869 / 0.00901869 | 0.0102837 / -0.0102837 | 0.0238384 / -0.0238384 | -0.00235757 / 0.00235757 | -0.00326881 / 0.00326881 | -0.00379014 / 0.00379014 | -0.00458407 / 0.00458407 | -0.00592774 / 0.00592774 | 0.000206411 / -0.000206411 | 0.0567695 / -0.0567695 | 0 / 0 | 0 / 0 | -0.0132312 / 0.0132312 |
