 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0296894 / -0.0296894 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | -0.0445051 / 0.0445051 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | -0.0239698 / 0.0239698 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213533 / -0.0213533 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0 / 0 | 0 / 0 | 0.0213533 / -0.0213533 |
 | t#bar{t} inclusive cross section | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501229 / -0.0501229 |
 | Electron ID | 0.00836608 / -0.00836608 | 0.0051638 / -0.0051638 | 0.00332138 / -0.00332138 | 0.00368168 / -0.00368168 | 0.00359793 / -0.00359793 | 0.00389441 / -0.00389441 | 0.00336516 / -0.00336516 | 0.00609928 / -0.00609928 | 0.00520923 / -0.00520923 | 0.00328105 / -0.00328105 | 0.00814754 / -0.00814754 | 0.00224608 / -0.00224608 | 0.00704952 / -0.00704952 | 0.00352841 / -0.00352841 | 0 / 0 | 0 / 0 | 0.00339443 / -0.00339443 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000663777 / -0.000663777 | 0.000887963 / -0.000887963 | 0.000902816 / -0.000902816 | 0.000881015 / -0.000881015 | 0.000847565 / -0.000847565 | 0.000932004 / -0.000932004 | 0.00111244 / -0.00111244 | 0.000681917 / -0.000681917 | 0.000620689 / -0.000620689 | 0.000943622 / -0.000943622 | 0.00230733 / -0.00230733 | 0.000974069 / -0.000974069 | 0.000906375 / -0.000906375 | 0.000360331 / -0.000360331 | 0 / 0 | 0 / 0 | 0.000484405 / -0.000484405 |
 | Muon ID (syst.) | 0.00276035 / -0.00276035 | 0.00388371 / -0.00388371 | 0.00332306 / -0.00332306 | 0.00353766 / -0.00353766 | 0.00330018 / -0.00330018 | 0.00401656 / -0.00401656 | 0.00461332 / -0.00461332 | 0.00326246 / -0.00326246 | 0.00272655 / -0.00272655 | 0.00390085 / -0.00390085 | 0.00595641 / -0.00595641 | 0.00455118 / -0.00455118 | 0.00327101 / -0.00327101 | 0.00157976 / -0.00157976 | 0 / 0 | 0 / 0 | 0.00297632 / -0.00297632 |
 | Muon Trig. (stat.) | 0.00124498 / -0.00124498 | 0.0026838 / -0.0026838 | 0.00247621 / -0.00247621 | 0.00278041 / -0.00278041 | 0.0024442 / -0.0024442 | 0.00266907 / -0.00266907 | 0.0031045 / -0.0031045 | 0.00189021 / -0.00189021 | 0.00174149 / -0.00174149 | 0.00234874 / -0.00234874 | 0.00316817 / -0.00316817 | 0.00272122 / -0.00272122 | 0.00234092 / -0.00234092 | 0.00128692 / -0.00128692 | 0 / 0 | 0 / 0 | 0.00257095 / -0.00257095 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (syst.) | 0.000158735 / -0.000158735 | 8.49424e-05 / -8.49424e-05 | 0.000395456 / -0.000395456 | 0.000334153 / -0.000334153 | 0.000396043 / -0.000396043 | 0.000229652 / -0.000229652 | 0.000179466 / -0.000179466 | 0.000137172 / -0.000137172 | 0.00017726 / -0.00017726 | 0.000348887 / -0.000348887 | 0.000630066 / -0.000630066 | 0.000517897 / -0.000517897 | 7.26503e-05 / -7.26503e-05 | 4.82707e-06 / -4.82707e-06 | 0 / 0 | 0 / 0 | 0.000476518 / -0.000476518 |
 | Pile-up uncertainty | -0.0857056 / 0.0857056 | -0.0237264 / 0.0237264 | -0.0577911 / 0.0577911 | 0.00682669 / -0.00682669 | -0.0154101 / 0.0154101 | 0.0061539 / -0.0061539 | 0.0745926 / -0.0745926 | 0.0261264 / -0.0261264 | 0.0158613 / -0.0158613 | 0.0108354 / -0.0108354 | -0.114064 / 0.114064 | 0.0390997 / -0.0390997 | -0.0546808 / 0.0546808 | -0.145108 / 0.145108 | 0 / 0 | 0 / 0 | -0.149179 / 0.149179 |
 | btag B EV 0 | -0.0466585 / 0.0466585 | -0.0480758 / 0.0480758 | -0.0900223 / 0.0900223 | -0.0829421 / 0.0829421 | -0.0840829 / 0.0840829 | 0 / 0 | 0 / 0 | -0.113564 / 0.113564 | 0 / 0 | 0 / 0 | -0.124267 / 0.124267 | -0.0889814 / 0.0889814 | -0.102945 / 0.102945 | -0.0741732 / 0.0741732 | 0 / 0 | 0 / 0 | -0.0694201 / 0.0694201 |
 | btag B EV 1 | -0.0133514 / 0.0133514 | -0.0206493 / 0.0206493 | -0.0287217 / 0.0287217 | -0.0374561 / 0.0374561 | -0.0367167 / 0.0367167 | 0 / 0 | 0 / 0 | -0.0153686 / 0.0153686 | 0 / 0 | 0 / 0 | -0.00935656 / 0.00935656 | -0.0274542 / 0.0274542 | -0.0237041 / 0.0237041 | -0.0552109 / 0.0552109 | 0 / 0 | 0 / 0 | -0.024681 / 0.024681 |
 | btag B EV 2 | 0.0150973 / -0.0150973 | 0.0100364 / -0.0100364 | 0.0214712 / -0.0214712 | 0.0219502 / -0.0219502 | 0.0230619 / -0.0230619 | 0 / 0 | 0 / 0 | 0.0178921 / -0.0178921 | 0 / 0 | 0 / 0 | 0.0218894 / -0.0218894 | 0.0177194 / -0.0177194 | 0.0226462 / -0.0226462 | 0.00988604 / -0.00988604 | 0 / 0 | 0 / 0 | 0.0238039 / -0.0238039 |
 | btag B EV 3 | -0.0012692 / 0.0012692 | 0.00260025 / -0.00260025 | -0.00106753 / 0.00106753 | 0.00164168 / -0.00164168 | 0.000499443 / -0.000499443 | 0 / 0 | 0 / 0 | -0.00292173 / 0.00292173 | 0 / 0 | 0 / 0 | -0.00658131 / 0.00658131 | -0.00135473 / 0.00135473 | -0.0054226 / 0.0054226 | 0.00262688 / -0.00262688 | 0 / 0 | 0 / 0 | -0.0036832 / 0.0036832 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 0 | -0.106376 / 0.106376 | -0.288089 / 0.288089 | -0.0317943 / 0.0317943 | -0.0104457 / 0.0104457 | -0.00643639 / 0.00643639 | -0.000397307 / 0.000397307 | -0.532168 / 0.532168 | -0.0301087 / 0.0301087 | -0.0377822 / 0.0377822 | -0.518612 / 0.518612 | -0.0133432 / 0.0133432 | -0.0608052 / 0.0608052 | -0.0156639 / 0.0156639 | -0.038801 / 0.038801 | 0 / 0 | 0 / 0 | -0.111603 / 0.111603 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 0 | -0.754224 / 0.754224 | 0 / 0 | -0.0160865 / 0.0160865 | -0.00465538 / 0.00465538 | -0.00116935 / 0.00116935 | -0.958273 / 0.958273 | -0.318313 / 0.318313 | -0.0385995 / 0.0385995 | -0.975685 / 0.975685 | -0.358068 / 0.358068 | -0.0240609 / 0.0240609 | -0.0212772 / 0.0212772 | -0.0117828 / 0.0117828 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0029205 / -0.0029205 |
 | btag L EV 1 | -0.0042526 / 0.0042526 | 0 / 0 | -4.85631e-05 / 4.85631e-05 | -4.47456e-06 / 4.47456e-06 | -0.000114404 / 0.000114404 | 0.00440331 / -0.00440331 | 0.00125796 / -0.00125796 | 0.000353497 / -0.000353497 | 0.00070005 / -0.00070005 | -0.000107376 / 0.000107376 | -7.5283e-05 / 7.5283e-05 | 0.000262364 / -0.000262364 | 6.54666e-06 / -6.54666e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000183856 / -0.000183856 |
 | btag L EV 2 | 0.00162762 / -0.00162762 | 0 / 0 | 6.50248e-05 / -6.50248e-05 | 3.12065e-05 / -3.12065e-05 | 0.000165158 / -0.000165158 | 0.000941305 / -0.000941305 | 0.000781606 / -0.000781606 | -7.15185e-05 / 7.15185e-05 | -0.00026126 / 0.00026126 | -2.25443e-05 / 2.25443e-05 | 1.41701e-05 / -1.41701e-05 | 0.000320178 / -0.000320178 | 6.3073e-05 / -6.3073e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000203222 / -0.000203222 |
 | btag L EV 3 | -0.000882432 / 0.000882432 | 0 / 0 | 5.11283e-05 / -5.11283e-05 | -5.84818e-05 / 5.84818e-05 | -1.0379e-05 / 1.0379e-05 | -0.0012053 / 0.0012053 | 0.00013149 / -0.00013149 | -7.05238e-05 / 7.05238e-05 | -0.00171101 / 0.00171101 | -0.00029329 / 0.00029329 | -2.21902e-05 / 2.21902e-05 | 0.00017923 / -0.00017923 | -1.79385e-05 / 1.79385e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000129524 / -0.000129524 |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 5 | -0.00110583 / 0.00110583 | 0 / 0 | 1.43858e-05 / -1.43858e-05 | -4.25821e-05 / 4.25821e-05 | 1.72335e-05 / -1.72335e-05 | -0.000436272 / 0.000436272 | -4.65232e-05 / 4.65232e-05 | 1.47837e-05 / -1.47837e-05 | -0.000605945 / 0.000605945 | -0.000171279 / 0.000171279 | -1.21768e-05 / 1.21768e-05 | 2.30615e-06 / -2.30615e-06 | 1.3701e-05 / -1.3701e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 2.04238e-06 / -2.04238e-06 |
 | btag L EV 6 | 6.13173e-06 / -6.13173e-06 | 0 / 0 | -1.3197e-05 / 1.3197e-05 | 3.94633e-05 / -3.94633e-05 | 9.33599e-06 / -9.33599e-06 | 0.00038618 / -0.00038618 | 1.95856e-05 / -1.95856e-05 | 7.93449e-06 / -7.93449e-06 | 0.000455061 / -0.000455061 | 4.47736e-05 / -4.47736e-05 | 5.90634e-06 / -5.90634e-06 | -4.96363e-05 / 4.96363e-05 | 1.34303e-05 / -1.34303e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -3.60624e-05 / 3.60624e-05 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
