 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.0942096 / -0.0942096 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | 0.14204 / -0.14204 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | 0.0836077 / -0.0836077 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0 / 0 | 0 / 0 | 0.0213534 / -0.0213534 |
 | t#bar{t} inclusive cross section | 0.0501229 / -0.0501229 | 0.0501229 / -0.0501229 | 0.050123 / -0.050123 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501229 / -0.0501229 |
 | Electron ID | 0.00335075 / -0.00335075 | 0.00357078 / -0.00357078 | 0.00365866 / -0.00365866 | 0.00400362 / -0.00400362 | 0.00367976 / -0.00367976 | 0.00420046 / -0.00420046 | 0.00420759 / -0.00420759 | 0.00408745 / -0.00408745 | 0.00606868 / -0.00606868 | 0.00611444 / -0.00611444 | 0.00561262 / -0.00561262 | 0.00413908 / -0.00413908 | 0.00494728 / -0.00494728 | 0.0041746 / -0.0041746 | 0 / 0 | 0 / 0 | 0.00369556 / -0.00369556 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.000911902 / -0.000911902 | 0.000908214 / -0.000908214 | 0.000894142 / -0.000894142 | 0.000878312 / -0.000878312 | 0.000894673 / -0.000894673 | 0.000938065 / -0.000938065 | 0.00101965 / -0.00101965 | 0.000985623 / -0.000985623 | 0.000658689 / -0.000658689 | 0.000600805 / -0.000600805 | 0.000685271 / -0.000685271 | 0.000846936 / -0.000846936 | 0.000771662 / -0.000771662 | 0.000889713 / -0.000889713 | 0 / 0 | 0 / 0 | 0.000825381 / -0.000825381 |
