 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | t#bar{t}+light generator | 0.112996 / -0.112996 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light PS & Had | 0.991983 / -0.991983 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+light ISR/FSR | 0.0812585 / -0.0812585 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Luminosity | 0.0213533 / -0.0213533 | 0.0213534 / -0.0213534 | 0.0213533 / -0.0213533 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213535 / -0.0213535 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0.0213534 / -0.0213534 | 0 / 0 | 0 / 0 | 0.0213534 / -0.0213534 |
 | t#bar{t} inclusive cross section | 0.050123 / -0.050123 | 0.050123 / -0.050123 | 0.050123 / -0.050123 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0501229 / -0.0501229 |
 | Electron ID | 0.00297942 / -0.00297942 | 0.00300189 / -0.00300189 | 0.00355477 / -0.00355477 | 0.00381103 / -0.00381103 | 0.00373591 / -0.00373591 | 0.00424138 / -0.00424138 | 0.00414443 / -0.00414443 | 0.00349926 / -0.00349926 | 0.00601546 / -0.00601546 | 0.00635977 / -0.00635977 | 0.00578727 / -0.00578727 | 0.00371888 / -0.00371888 | 0.00420511 / -0.00420511 | 0.00409699 / -0.00409699 | 0 / 0 | 0 / 0 | 0.00303038 / -0.00303038 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID (stat.) | 0.00107737 / -0.00107737 | 0.0010194 / -0.0010194 | 0.000937405 / -0.000937405 | 0.000880744 / -0.000880744 | 0.000881326 / -0.000881326 | 0.000939138 / -0.000939138 | 0.00108676 / -0.00108676 | 0.00113728 / -0.00113728 | 0.000683786 / -0.000683786 | 0.000587831 / -0.000587831 | 0.000631904 / -0.000631904 | 0.000801428 / -0.000801428 | 0.000845771 / -0.000845771 | 0.000904049 / -0.000904049 | 0 / 0 | 0 / 0 | 0.00106795 / -0.00106795 |
 | Muon ID (syst.) | 0.00451735 / -0.00451735 | 0.00497781 / -0.00497781 | 0.00385932 / -0.00385932 | 0.00373972 / -0.00373972 | 0.00370833 / -0.00370833 | 0.00456311 / -0.00456311 | 0.00534332 / -0.00534332 | 0.00509748 / -0.00509748 | 0.00308162 / -0.00308162 | 0.00262985 / -0.00262985 | 0.00360283 / -0.00360283 | 0.00450074 / -0.00450074 | 0.00445507 / -0.00445507 | 0.0042195 / -0.0042195 | 0 / 0 | 0 / 0 | 0.0041275 / -0.0041275 |
 | Muon Trig. (stat.) | 0.00313491 / -0.00313491 | 0.00281332 / -0.00281332 | 0.00279125 / -0.00279125 | 0.00270223 / -0.00270223 | 0.00277972 / -0.00277972 | 0.00274236 / -0.00274236 | 0.00296496 / -0.00296496 | 0.00294953 / -0.00294953 | 0.00175145 / -0.00175145 | 0.0014967 / -0.0014967 | 0.00177762 / -0.00177762 | 0.00287879 / -0.00287879 | 0.00282888 / -0.00282888 | 0.00274238 / -0.00274238 | 0 / 0 | 0 / 0 | 0.00265014 / -0.00265014 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (syst.) | 0.000557045 / -0.000557045 | 0.000518802 / -0.000518802 | 0.000387824 / -0.000387824 | 0.000397468 / -0.000397468 | 0.000421171 / -0.000421171 | 0.000239693 / -0.000239693 | 0.000258693 / -0.000258693 | 0.000269306 / -0.000269306 | 0.000172446 / -0.000172446 | 0.00019382 / -0.00019382 | 0.000241771 / -0.000241771 | 0.000406824 / -0.000406824 | 0.00033647 / -0.00033647 | 0.000406395 / -0.000406395 | 0 / 0 | 0 / 0 | 0.000561893 / -0.000561893 |
