NUISANCE_PARAMETERS
BTAG_EXTRAP  -0.146115 +0.992877 -0.992877
BTAG_EXTRAP_FROM_CHARM  0.0103228 +0.98992 -0.98992
Dibosons_XS_4j  0.000374353 +0.993111 -0.993111
Dibosons_XS_5j  0.00533457 +0.991999 -0.991999
Dibosons_XS_6j  -0.0112012 +0.995248 -0.995248
EG_RESOLUTION_ALL  3.27851e-05 +0.993347 -0.993347
EG_SCALE_ALL  -2.22972e-05 +0.993347 -0.993347
ELEC_ID  -4.18259e-07 +0.993342 -0.993342
JET_EffectiveNP_1  -0.270463 +0.955922 -0.955922
JET_EffectiveNP_2  0.03461 +0.989238 -0.989238
JET_EffectiveNP_3  -0.026194 +0.993179 -0.993179
JET_EffectiveNP_4  0.0266284 +0.993162 -0.993162
JET_EffectiveNP_5  -3.02521e-06 +0.993347 -0.993347
JET_EffectiveNP_6  -6.5498e-06 +0.993347 -0.993347
JET_EffectiveNP_7  0.000600374 +0.992937 -0.992937
JET_EffectiveNP_8restTerm  4.10094e-06 +0.993337 -0.993337
JET_EtaIntercalibration_Modelling  0.132913 +0.980909 -0.980909
JET_EtaIntercalibration_NonClosure  0.0133127 +0.993558 -0.993558
JET_EtaIntercalibration_TotalStat  0.0279248 +0.989566 -0.989566
JET_Flavor_Composition  -0.111789 +0.772369 -0.772369
JET_Flavor_Response  0.133675 +0.964226 -0.964226
JET_JER_SINGLE_NP__1up  -0.290843 +0.757664 -0.757664
JET_Pileup_OffsetMu  0.0895171 +0.989721 -0.989721
JET_Pileup_OffsetNPV  0.057784 +0.988184 -0.988184
JET_Pileup_PtTerm  -0.0291851 +0.983175 -0.983175
JET_Pileup_RhoTopology  -0.516803 +0.882957 -0.882957
JET_PunchThrough_MC15  2.63254e-06 +0.993337 -0.993337
JVT_SF  -0.0266185 +0.989991 -0.989991
Lumi  -0.011613 +0.972644 -0.972644
MET_SoftTrk_ResoPara  0.139034 +0.987884 -0.987884
MET_SoftTrk_ResoPerp  -0.00829814 +0.993246 -0.993246
MET_SoftTrk_Scale  -0.00309521 +0.993296 -0.993296
MUON_ID  0.00138322 +0.993616 -0.993616
