 |       | 4jex-2bex | 4jex-3bex | 4jex-4bin | 5jex-2bex | 5jex-3bex | 5jex-4bin | 6jin-2bex | 6jin-3bex | 6jin-4bin | 
 | t#bar{t}+light | 82736.7 pm 3818.29 | 4870.48 pm 447.527 | 15.4586 pm 12.0169 | 37914.3 pm 2736.89 | 3470.01 pm 391.763 | 15.8632 pm 9.43766 | 20004.4 pm 2231.26 | 2549.13 pm 421.22 | 20.8411 pm 18.6847 | 
 | t#bar{t}+cc | 11455.7 pm 4842.46 | 1357.71 pm 568.799 | 5.85958 pm 4.13801 | 8375.44 pm 3441.7 | 2002.26 pm 785.096 | 39.3117 pm 18.3893 | 7831.2 pm 3251.3 | 2987.79 pm 1175.41 | 58.7913 pm 25.5942 | 
 | t#bar{t}+bb | 4258.72 pm 574.914 | 3395.21 pm 352.791 | 109.833 pm 16.9058 | 3399.68 pm 457.628 | 4910.58 pm 460.487 | 355.573 pm 28.7152 | 3383.78 pm 479.152 | 7504.21 pm 761.754 | 1104.67 pm 81.3061 | 
 | topEW | 173.264 pm 27.3871 | 34.9273 pm 5.71128 | 2.6856 pm 0.540473 | 167.597 pm 25.9071 | 65.3758 pm 10.4063 | 8.17168 pm 1.43466 | 212.973 pm 33.7948 | 147.078 pm 23.8292 | 27.0128 pm 4.76994 | 
 | ttH | 62.4596 pm 7.54464 | 47.1617 pm 6.06109 | 4.66843 pm 0.673201 | 81.0522 pm 8.86567 | 98.6344 pm 11.548 | 16.5886 pm 2.29912 | 134.656 pm 15.1917 | 240.832 pm 28.9758 | 61.7553 pm 8.68497 | 
 | W+jetslight | 6.13687 pm 6.3726 | 0.0116191 pm 0.0132552 | 4.02838e-06 pm 4.9843e-06 | 2.4412 pm 2.40463 | 0.0082668 pm 0.0094287 | 5.88125e-06 pm 7.23165e-06 | 1.14673 pm 1.09747 | 0.00749165 pm 0.00868194 | 9.92478e-06 pm 1.24923e-05 | 
 | W+jetscharm | 115.072 pm 56.4961 | 1.21345 pm 0.668815 | 0.00239716 pm 0.00149026 | 46.939 pm 22.8654 | 0.714879 pm 0.393686 | 0.00222412 pm 0.00142098 | 21.3729 pm 11.0021 | 0.607396 pm 0.344118 | 0.00339688 pm 0.00226103 | 
 | W+jetsbeauty | 4699.39 pm 1831.01 | 259.182 pm 104.289 | 2.87623 pm 1.34429 | 2039.18 pm 817.243 | 168.126 pm 67.9351 | 6.00435 pm 2.82184 | 1179.09 pm 471.719 | 182.957 pm 75.3672 | 12.5032 pm 5.73171 | 
 | Z+jetslight | 1.61319 pm 1.56458 | 0.00372087 pm 0.00409099 | 1.37802e-06 pm 1.61883e-06 | 0.660407 pm 0.636966 | 0.00248097 pm 0.00276278 | 1.83077e-06 pm 2.221e-06 | 0.302377 pm 0.275755 | 0.00214711 pm 0.0024307 | 2.94255e-06 pm 3.59597e-06 | 
 | Z+jetscharm | 20.2296 pm 9.78978 | 0.192183 pm 0.10577 | 0.000329513 pm 0.000209217 | 8.34363 pm 4.04684 | 0.12686 pm 0.0702107 | 0.000454394 pm 0.000283009 | 4.44878 pm 2.20319 | 0.124529 pm 0.0689165 | 0.000757345 pm 0.000476136 | 
 | Z+jetsbeauty | 1847.09 pm 725.378 | 102.151 pm 41.2591 | 1.92588 pm 1.03349 | 694.193 pm 274.143 | 73.9958 pm 30.2384 | 5.54591 pm 3.2085 | 351.493 pm 146.045 | 56.299 pm 23.7949 | 3.53004 pm 2.14947 | 
 | Single-top | 6405.21 pm 881.129 | 399.573 pm 70.1827 | 8.14191 pm 3.29931 | 2591.95 pm 545.578 | 326.041 pm 73.0191 | 13.575 pm 4.21531 | 1250.63 pm 360.943 | 322.922 pm 98.8107 | 28.0382 pm 10.1727 | 
 | Dibosons | 242.9 pm 84.1208 | 16.2734 pm 5.72528 | 0.495815 pm 0.222927 | 111.823 pm 47.877 | 12.4987 pm 5.45537 | 0.766919 pm 0.392579 | 82.3516 pm 40.0722 | 16.7367 pm 8.21993 | 1.70822 pm 0.904067 | 
 | QCDE | 7782.29 pm 3435.12 | 600.09 pm 229.152 | 20.0874 pm 14.1079 | 2656.51 pm 937.488 | 488.718 pm 223.903 | 3.60632 pm 4.81286 | 1225.53 pm 505.444 | 749.333 pm 338.803 | 28.4986 pm 24.7199 | 
 | QCDMU | 1250.34 pm 636.1 | 210.002 pm 98.9055 | 9.032 pm 8.47603 | 737.524 pm 369.77 | 71.0643 pm 44.7127 | 2e-05 pm 1.00366e-05 | 307.805 pm 164.154 | 107.192 pm 63.6139 | 8.52658 pm 8.06508 | 
 | SM-4tops | 0.101944 pm 0.0378504 | 0.0964923 pm 0.0364342 | 0.00741156 pm 0.00592196 | 0.367117 pm 0.126677 | 0.491372 pm 0.156655 | 0.0541694 pm 0.0203208 | 5.14482 pm 1.54471 | 19.1582 pm 5.78108 | 4.97106 pm 1.54508 | 
 | Total | 121057 pm 2195.97 | 11294.3 pm 287.414 | 181.074 pm 23.3765 | 58828 pm 1406.91 | 11688.6 pm 368.518 | 465.064 pm 29.1391 | 35996.3 pm 1309.57 | 14884.4 pm 511.15 | 1360.85 pm 70.7275 | 
 | Data | 120572 | 11275 | 176 | 58557 | 11707 | 466 | 35886 | 14877 | 1335 | 
