 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | -0.0120395 / 0.0120395 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | -0.0544777 / 0.0544777 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0269271 / 0.0269271 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00337614 / -0.00337614 | 0.00354319 / -0.00354319 | 0.00345627 / -0.00345627 | 0.00382192 / -0.00382192 | 0.00372747 / -0.00372747 | 0.00388058 / -0.00388058 | 0.0037326 / -0.0037326 | 0.00431971 / -0.00431971 | 0.00526327 / -0.00526327 | 0.0043388 / -0.0043388 | 0.00517623 / -0.00517623 | 0.00361981 / -0.00361981 | 0.004517 / -0.004517 | 0 / 0 | 0 / 0 | 0.00387941 / -0.00387941 | 0.00314791 / -0.00314791 |
 | Electron isol. | 0.000537816 / -0.000537816 | 0.000543643 / -0.000543643 | 0.000557965 / -0.000557965 | 0.00101722 / -0.00101722 | 0.000906307 / -0.000906307 | 0.000815732 / -0.000815732 | 0.000885081 / -0.000885081 | 0.000872807 / -0.000872807 | 0.00100866 / -0.00100866 | 0.000937783 / -0.000937783 | 0.0010605 / -0.0010605 | 0.000872682 / -0.000872682 | 0.00135358 / -0.00135358 | 0 / 0 | 0 / 0 | 0.0016113 / -0.0016113 | 0.000887345 / -0.000887345 |
 | Electron reco. | 0.000653002 / -0.000653002 | 0.00067016 / -0.00067016 | 0.000666103 / -0.000666103 | 0.00069927 / -0.00069927 | 0.000708395 / -0.000708395 | 0.000669578 / -0.000669578 | 0.000687412 / -0.000687412 | 0.000680083 / -0.000680083 | 0.000927351 / -0.000927351 | 0.00080297 / -0.00080297 | 0.000808027 / -0.000808027 | 0.000670784 / -0.000670784 | 0.000794864 / -0.000794864 | 0 / 0 | 0 / 0 | 0.000655144 / -0.000655144 | 0.000709598 / -0.000709598 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000894521 / -0.000894521 | 0.000855414 / -0.000855414 | 0.000896959 / -0.000896959 | 0.000888504 / -0.000888504 | 0.000880736 / -0.000880736 | 0.000940884 / -0.000940884 | 0.000909443 / -0.000909443 | 0.000866667 / -0.000866667 | 0.000616388 / -0.000616388 | 0.000808429 / -0.000808429 | 0.00080796 / -0.00080796 | 0.00091463 / -0.00091463 | 0.000861921 / -0.000861921 | 0 / 0 | 0 / 0 | 0.00106026 / -0.00106026 | 0.000985214 / -0.000985214 |
 | Muon ID (syst.) | 0.00347455 / -0.00347455 | 0.00329815 / -0.00329815 | 0.00350814 / -0.00350814 | 0.00369984 / -0.00369984 | 0.00360741 / -0.00360741 | 0.00402835 / -0.00402835 | 0.00401527 / -0.00401527 | 0.00374369 / -0.00374369 | 0.00267843 / -0.00267843 | 0.00344952 / -0.00344952 | 0.00314848 / -0.00314848 | 0.00361917 / -0.00361917 | 0.0039303 / -0.0039303 | 0 / 0 | 0 / 0 | 0.00485584 / -0.00485584 | 0.00359931 / -0.00359931 |
 | Muon Trig. (stat.) | 0.0027027 / -0.0027027 | 0.0025761 / -0.0025761 | 0.00270331 / -0.00270331 | 0.00281341 / -0.00281341 | 0.00268301 / -0.00268301 | 0.00268269 / -0.00268269 | 0.00271376 / -0.00271376 | 0.00250385 / -0.00250385 | 0.00172599 / -0.00172599 | 0.00222768 / -0.00222768 | 0.00225059 / -0.00225059 | 0.00255827 / -0.00255827 | 0.00245359 / -0.00245359 | 0 / 0 | 0 / 0 | 0.00373031 / -0.00373031 | 0.00284628 / -0.00284628 |
 | Muon Trig. (syst.) | 0.00479683 / -0.00479683 | 0.00466584 / -0.00466584 | 0.00467903 / -0.00467903 | 0.00474666 / -0.00474666 | 0.00462791 / -0.00462791 | 0.00479996 / -0.00479996 | 0.00458943 / -0.00458943 | 0.00451755 / -0.00451755 | 0.00320867 / -0.00320867 | 0.00404468 / -0.00404468 | 0.00422664 / -0.00422664 | 0.00473348 / -0.00473348 | 0.00455574 / -0.00455574 | 0 / 0 | 0 / 0 | 0.00646437 / -0.00646437 | 0.0049042 / -0.0049042 |
 | Muon Isol. (stat.) | 0.000152906 / -0.000152906 | 0.000151044 / -0.000151044 | 0.000152092 / -0.000152092 | 0.0001513 / -0.0001513 | 0.000148375 / -0.000148375 | 0.000181156 / -0.000181156 | 0.000165599 / -0.000165599 | 0.000182005 / -0.000182005 | 0.000123178 / -0.000123178 | 0.00014251 / -0.00014251 | 0.00013211 / -0.00013211 | 0.000156785 / -0.000156785 | 0.000155764 / -0.000155764 | 0 / 0 | 0 / 0 | 0.00024979 / -0.00024979 | 0.000160468 / -0.000160468 |
