 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | -0.00956596 / 0.00956596 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | -0.0376023 / 0.0376023 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0224561 / 0.0224561 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0 / 0 | 0 / 0 | 0.0213955 / -0.0213955 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00335397 / -0.00335397 | 0.00352886 / -0.00352886 | 0.00343374 / -0.00343374 | 0.00379614 / -0.00379614 | 0.00370323 / -0.00370323 | 0.00386061 / -0.00386061 | 0.00371917 / -0.00371917 | 0.00429144 / -0.00429144 | 0.00522453 / -0.00522453 | 0.00430733 / -0.00430733 | 0.00513545 / -0.00513545 | 0.00359564 / -0.00359564 | 0.00448772 / -0.00448772 | 0 / 0 | 0 / 0 | 0.00381175 / -0.00381175 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000888588 / -0.000888588 | 0.000848479 / -0.000848479 | 0.000891127 / -0.000891127 | 0.00088242 / -0.00088242 | 0.000874813 / -0.000874813 | 0.00093434 / -0.00093434 | 0.000858358 / -0.000858358 | 0.00086217 / -0.00086217 | 0.000612776 / -0.000612776 | 0.000802626 / -0.000802626 | 0.000802091 / -0.000802091 | 0.000909275 / -0.000909275 | 0.000856099 / -0.000856099 | 0 / 0 | 0 / 0 | 0.00107236 / -0.00107236 | -nan / -nan |
