 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0503736 / -0.0503736 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.0150079 / -0.0150079 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | -0.0308609 / 0.0308609 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213957 / -0.0213957 | 0.0213956 / -0.0213956 | 0.0213957 / -0.0213957 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0 / 0 | 0 / 0 | 0.0213955 / -0.0213955 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00265108 / -0.00265108 | 0.00296171 / -0.00296171 | 0.00359037 / -0.00359037 | 0.0037487 / -0.0037487 | 0.00372886 / -0.00372886 | 0.00419138 / -0.00419138 | 0.00446705 / -0.00446705 | 0.00429715 / -0.00429715 | 0.00537035 / -0.00537035 | 0.00520465 / -0.00520465 | 0.00719818 / -0.00719818 | 0.00313346 / -0.00313346 | 0.00956661 / -0.00956661 | 0 / 0 | 0 / 0 | 0.00467729 / -0.00467729 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000859098 / -0.000859098 | 0.000998227 / -0.000998227 | 0.000847328 / -0.000847328 | 0.000814482 / -0.000814482 | 0.000879065 / -0.000879065 | 0.000915946 / -0.000915946 | 0.000899789 / -0.000899789 | 0.00102932 / -0.00102932 | 0.000634283 / -0.000634283 | 0.000824378 / -0.000824378 | 0.000456503 / -0.000456503 | 0.00125732 / -0.00125732 | 0.00073423 / -0.00073423 | 0 / 0 | 0 / 0 | 0.000720924 / -0.000720924 | -nan / -nan |
