 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.1147 / -0.1147 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.173862 / -0.173862 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | 0.101324 / -0.101324 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00337588 / -0.00337588 | 0.00359518 / -0.00359518 | 0.00368154 / -0.00368154 | 0.00403046 / -0.00403046 | 0.00370469 / -0.00370469 | 0.0042283 / -0.0042283 | 0.00423792 / -0.00423792 | 0.00410104 / -0.00410104 | 0.00611002 / -0.00611002 | 0.0061638 / -0.0061638 | 0.00565312 / -0.00565312 | 0.00415766 / -0.00415766 | 0.00498856 / -0.00498856 | 0 / 0 | 0 / 0 | 0.00420436 / -0.00420436 | 0.00370461 / -0.00370461 |
 | Electron isol. | 0.000692419 / -0.000692419 | 0.000882732 / -0.000882732 | 0.000914644 / -0.000914644 | 0.00137101 / -0.00137101 | 0.00101428 / -0.00101428 | 0.00130004 / -0.00130004 | 0.00153654 / -0.00153654 | 0.00135184 / -0.00135184 | 0.00171632 / -0.00171632 | 0.00195877 / -0.00195877 | 0.0019075 / -0.0019075 | 0.00176215 / -0.00176215 | 0.00230068 / -0.00230068 | 0 / 0 | 0 / 0 | 0.00165912 / -0.00165912 | 0.0012025 / -0.0012025 |
 | Electron reco. | 0.000633617 / -0.000633617 | 0.000671494 / -0.000671494 | 0.000701161 / -0.000701161 | 0.000737181 / -0.000737181 | 0.000701067 / -0.000701067 | 0.000722936 / -0.000722936 | 0.000739309 / -0.000739309 | 0.000694302 / -0.000694302 | 0.00106748 / -0.00106748 | 0.00110883 / -0.00110883 | 0.00101974 / -0.00101974 | 0.000729996 / -0.000729996 | 0.000807393 / -0.000807393 | 0 / 0 | 0 / 0 | 0.0007751 / -0.0007751 | 0.000847282 / -0.000847282 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000917561 / -0.000917561 | 0.000914389 / -0.000914389 | 0.000899994 / -0.000899994 | 0.000884192 / -0.000884192 | 0.000900596 / -0.000900596 | 0.000944149 / -0.000944149 | 0.00103007 / -0.00103007 | 0.000994963 / -0.000994963 | 0.000660093 / -0.000660093 | 0.000604456 / -0.000604456 | 0.00068987 / -0.00068987 | 0.000852087 / -0.000852087 | 0.000775114 / -0.000775114 | 0 / 0 | 0 / 0 | 0.000895935 / -0.000895935 | 0.000870454 / -0.000870454 |
