 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0894936 / -0.0894936 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.120355 / -0.120355 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | 0.0837038 / -0.0837038 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0 / 0 | 0 / 0 | 0.0213956 / -0.0213956 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00335123 / -0.00335123 | 0.00357073 / -0.00357073 | 0.0036587 / -0.0036587 | 0.00400357 / -0.00400357 | 0.00367974 / -0.00367974 | 0.00420042 / -0.00420042 | 0.0042075 / -0.0042075 | 0.00408695 / -0.00408695 | 0.00605912 / -0.00605912 | 0.0061434 / -0.0061434 | 0.0056267 / -0.0056267 | 0.0041387 / -0.0041387 | 0.00494725 / -0.00494725 | 0 / 0 | 0 / 0 | 0.00417465 / -0.00417465 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.000911852 / -0.000911852 | 0.000908214 / -0.000908214 | 0.000894146 / -0.000894146 | 0.000878314 / -0.000878314 | 0.000894674 / -0.000894674 | 0.000938085 / -0.000938085 | 0.00101941 / -0.00101941 | 0.000985677 / -0.000985677 | 0.000665503 / -0.000665503 | 0.000601916 / -0.000601916 | 0.000683657 / -0.000683657 | 0.000846913 / -0.000846913 | 0.000771651 / -0.000771651 | 0 / 0 | 0 / 0 | 0.000889721 / -0.000889721 | -nan / -nan |
 | Muon ID (syst.) | 0.00364702 / -0.00364702 | 0.00372526 / -0.00372526 | 0.00362028 / -0.00362028 | 0.00386536 / -0.00386536 | 0.00374456 / -0.00374456 | 0.00452022 / -0.00452022 | 0.00488821 / -0.00488821 | 0.00463022 / -0.00463022 | 0.00298666 / -0.00298666 | 0.00291022 / -0.00291022 | 0.00308522 / -0.00308522 | 0.0037743 / -0.0037743 | 0.00396853 / -0.00396853 | 0 / 0 | 0 / 0 | 0.00407865 / -0.00407865 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00267126 / -0.00267126 | 0.00274169 / -0.00274169 | 0.00271412 / -0.00271412 | 0.00268249 / -0.00268249 | 0.00274931 / -0.00274931 | 0.0027317 / -0.0027317 | 0.00285537 / -0.00285537 | 0.00278027 / -0.00278027 | 0.00174592 / -0.00174592 | 0.00172004 / -0.00172004 | 0.00198724 / -0.00198724 | 0.00259192 / -0.00259192 | 0.00253633 / -0.00253633 | 0 / 0 | 0 / 0 | 0.00275722 / -0.00275722 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.00039227 / -0.00039227 | 0.000363741 / -0.000363741 | 0.000383926 / -0.000383926 | 0.000371211 / -0.000371211 | 0.00041635 / -0.00041635 | 0.000225405 / -0.000225405 | 0.000281122 / -0.000281122 | 0.000274758 / -0.000274758 | 0.000165887 / -0.000165887 | 0.000173932 / -0.000173932 | 0.000289239 / -0.000289239 | 0.000398143 / -0.000398143 | 0.000257273 / -0.000257273 | 0 / 0 | 0 / 0 | 0.000413325 / -0.000413325 | -nan / -nan |
 | Pile-up uncertainty | 0.00507535 / -0.00507535 | 0.00674865 / -0.00674865 | -0.00552364 / 0.00552364 | -0.000629789 / 0.000629789 | -0.00518352 / 0.00518352 | 0.0181834 / -0.0181834 | -0.00812317 / 0.00812317 | 0.0319165 / -0.0319165 | 0.0122754 / -0.0122754 | -0.00650673 / 0.00650673 | 0.0214965 / -0.0214965 | 0.0194821 / -0.0194821 | 0.00830503 / -0.00830503 | 0 / 0 | 0 / 0 | -0.00611711 / 0.00611711 | -nan / -nan |
 | btag B EV 0 | -0.0447702 / 0.0447702 | -0.0429396 / 0.0429396 | -0.0566495 / 0.0566495 | -0.0444449 / 0.0444449 | -0.041943 / 0.041943 | 0 / 0 | 0 / 0 | -0.0720875 / 0.0720875 | 0 / 0 | 0 / 0 | -0.0654119 / 0.0654119 | -0.0539817 / 0.0539817 | -0.0606737 / 0.0606737 | 0 / 0 | 0 / 0 | -0.0392934 / 0.0392934 | -nan / -nan |
 | btag B EV 1 | -0.0176078 / 0.0176078 | -0.017977 / 0.017977 | -0.0211413 / 0.0211413 | -0.0203289 / 0.0203289 | -0.0188202 / 0.0188202 | 0 / 0 | 0 / 0 | -0.0152674 / 0.0152674 | 0 / 0 | 0 / 0 | -0.0160443 / 0.0160443 | -0.0222566 / 0.0222566 | -0.0171775 / 0.0171775 | 0 / 0 | 0 / 0 | -0.023621 / 0.023621 | -nan / -nan |
 | btag B EV 2 | 0.011771 / -0.011771 | 0.0110223 / -0.0110223 | 0.0124541 / -0.0124541 | 0.00978103 / -0.00978103 | 0.00991679 / -0.00991679 | 0 / 0 | 0 / 0 | 0.0116454 / -0.0116454 | 0 / 0 | 0 / 0 | 0.0120037 / -0.0120037 | 0.0093801 / -0.0093801 | 0.0114634 / -0.0114634 | 0 / 0 | 0 / 0 | 0.00695204 / -0.00695204 | -nan / -nan |
