 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.138354 / -0.138354 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 1.10912 / -1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | 0.0983691 / -0.0983691 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00298111 / -0.00298111 | 0.00302022 / -0.00302022 | 0.00357974 / -0.00357974 | 0.00383637 / -0.00383637 | 0.00376091 / -0.00376091 | 0.00426823 / -0.00426823 | 0.00417264 / -0.00417264 | 0.00348972 / -0.00348972 | 0.00605074 / -0.00605074 | 0.00640424 / -0.00640424 | 0.00582606 / -0.00582606 | 0.00374773 / -0.00374773 | 0.00419094 / -0.00419094 | 0 / 0 | 0 / 0 | 0.00412389 / -0.00412389 | 0.00255222 / -0.00255222 |
 | Electron isol. | 0.000596637 / -0.000596637 | 0.00103534 / -0.00103534 | 0.000852803 / -0.000852803 | 0.00108572 / -0.00108572 | 0.00107718 / -0.00107718 | 0.00136698 / -0.00136698 | 0.00184259 / -0.00184259 | 0.00153046 / -0.00153046 | 0.00175612 / -0.00175612 | 0.00213877 / -0.00213877 | 0.0018527 / -0.0018527 | 0.00109101 / -0.00109101 | 0.00244805 / -0.00244805 | 0 / 0 | 0 / 0 | 0.0016323 / -0.0016323 | 0.000107416 / -0.000107416 |
 | Electron reco. | 0.000364123 / -0.000364123 | 0.000684118 / -0.000684118 | 0.000687311 / -0.000687311 | 0.000722471 / -0.000722471 | 0.000717026 / -0.000717026 | 0.000729338 / -0.000729338 | 0.000727833 / -0.000727833 | 0.000566545 / -0.000566545 | 0.00104616 / -0.00104616 | 0.00119913 / -0.00119913 | 0.00101587 / -0.00101587 | 0.000826681 / -0.000826681 | 0.000753752 / -0.000753752 | 0 / 0 | 0 / 0 | 0.000756029 / -0.000756029 | 0.000658267 / -0.000658267 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.00108256 / -0.00108256 | 0.00102649 / -0.00102649 | 0.000943252 / -0.000943252 | 0.000886638 / -0.000886638 | 0.000887214 / -0.000887214 | 0.000945713 / -0.000945713 | 0.00109517 / -0.00109517 | 0.00115021 / -0.00115021 | 0.000687927 / -0.000687927 | 0.000592013 / -0.000592013 | 0.000636354 / -0.000636354 | 0.000805888 / -0.000805888 | 0.000853502 / -0.000853502 | 0 / 0 | 0 / 0 | 0.000910131 / -0.000910131 | 0.00106311 / -0.00106311 |
 | Muon ID (syst.) | 0.00453318 / -0.00453318 | 0.00501263 / -0.00501263 | 0.00388527 / -0.00388527 | 0.00376465 / -0.00376465 | 0.00373302 / -0.00373302 | 0.0045928 / -0.0045928 | 0.00538156 / -0.00538156 | 0.00511202 / -0.00511202 | 0.00310408 / -0.00310408 | 0.00263985 / -0.00263985 | 0.00362855 / -0.00362855 | 0.00452349 / -0.00452349 | 0.00448897 / -0.00448897 | 0 / 0 | 0 / 0 | 0.00424881 / -0.00424881 | 0.00436545 / -0.00436545 |
 | Muon Trig. (stat.) | 0.00314925 / -0.00314925 | 0.00283277 / -0.00283277 | 0.00280938 / -0.00280938 | 0.00272048 / -0.00272048 | 0.0027983 / -0.0027983 | 0.00276149 / -0.00276149 | 0.00298498 / -0.00298498 | 0.00296203 / -0.00296203 | 0.0017593 / -0.0017593 | 0.00149932 / -0.00149932 | 0.00178891 / -0.00178891 | 0.00289439 / -0.00289439 | 0.0028368 / -0.0028368 | 0 / 0 | 0 / 0 | 0.00276096 / -0.00276096 | 0.00368295 / -0.00368295 |
 | Muon Trig. (syst.) | 0.00525198 / -0.00525198 | 0.00618046 / -0.00618046 | 0.00484056 / -0.00484056 | 0.00468915 / -0.00468915 | 0.00473211 / -0.00473211 | 0.00510306 / -0.00510306 | 0.00522679 / -0.00522679 | 0.00731358 / -0.00731358 | 0.00349239 / -0.00349239 | 0.00267421 / -0.00267421 | 0.00308271 / -0.00308271 | 0.00458291 / -0.00458291 | 0.00518042 / -0.00518042 | 0 / 0 | 0 / 0 | 0.00479132 / -0.00479132 | 0.00575272 / -0.00575272 |
