 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.107493 / -0.107493 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light PS & Had | 0.828025 / -0.828025 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | t#bar{t}+light ISR/FSR | 0.0813302 / -0.0813302 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Luminosity | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213956 / -0.0213956 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0.0213955 / -0.0213955 | 0 / 0 | 0 / 0 | 0.0213955 / -0.0213955 | -nan / -nan |
 | t#bar{t} inclusive cross section | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0.049163 / -0.049163 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron ID | 0.00298003 / -0.00298003 | 0.00300331 / -0.00300331 | 0.00355474 / -0.00355474 | 0.003811 / -0.003811 | 0.00373589 / -0.00373589 | 0.00424126 / -0.00424126 | 0.00414442 / -0.00414442 | 0.00349842 / -0.00349842 | 0.00587393 / -0.00587393 | 0.00635971 / -0.00635971 | 0.00578723 / -0.00578723 | 0.00371932 / -0.00371932 | 0.00420437 / -0.00420437 | 0 / 0 | 0 / 0 | 0.0040969 / -0.0040969 | -nan / -nan |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID (stat.) | 0.00107747 / -0.00107747 | 0.0010192 / -0.0010192 | 0.000937399 / -0.000937399 | 0.000880748 / -0.000880748 | 0.000881331 / -0.000881331 | 0.000939159 / -0.000939159 | 0.00108673 / -0.00108673 | 0.00113741 / -0.00113741 | 0.000667864 / -0.000667864 | 0.000587831 / -0.000587831 | 0.000631927 / -0.000631927 | 0.00080132 / -0.00080132 | 0.000845804 / -0.000845804 | 0 / 0 | 0 / 0 | 0.000904063 / -0.000904063 | -nan / -nan |
 | Muon ID (syst.) | 0.00451781 / -0.00451781 | 0.00497663 / -0.00497663 | 0.00385932 / -0.00385932 | 0.00373971 / -0.00373971 | 0.00370836 / -0.00370836 | 0.00456307 / -0.00456307 | 0.00534327 / -0.00534327 | 0.00509698 / -0.00509698 | 0.00301458 / -0.00301458 | 0.00262988 / -0.00262988 | 0.00360296 / -0.00360296 | 0.0044999 / -0.0044999 | 0.00445513 / -0.00445513 | 0 / 0 | 0 / 0 | 0.00421961 / -0.00421961 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00313518 / -0.00313518 | 0.00281282 / -0.00281282 | 0.00279121 / -0.00279121 | 0.00270225 / -0.00270225 | 0.00277975 / -0.00277975 | 0.00274246 / -0.00274246 | 0.002965 / -0.002965 | 0.00294929 / -0.00294929 | 0.00170711 / -0.00170711 | 0.00149671 / -0.00149671 | 0.00177761 / -0.00177761 | 0.00287838 / -0.00287838 | 0.00282872 / -0.00282872 | 0 / 0 | 0 / 0 | 0.00274239 / -0.00274239 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000556903 / -0.000556903 | 0.000518702 / -0.000518702 | 0.00038782 / -0.00038782 | 0.000397466 / -0.000397466 | 0.000421173 / -0.000421173 | 0.000239705 / -0.000239705 | 0.000258693 / -0.000258693 | 0.000269234 / -0.000269234 | 0.000168214 / -0.000168214 | 0.000193817 / -0.000193817 | 0.000241746 / -0.000241746 | 0.000406695 / -0.000406695 | 0.000336521 / -0.000336521 | 0 / 0 | 0 / 0 | 0.000406398 / -0.000406398 | -nan / -nan |
 | Pile-up uncertainty | 0.0813175 / -0.0813175 | -0.0485532 / 0.0485532 | 0.00287639 / -0.00287639 | -0.0090557 / 0.0090557 | -0.00691486 / 0.00691486 | 0.0194949 / -0.0194949 | -0.012882 / 0.012882 | -0.000987459 / 0.000987459 | 0.0109576 / -0.0109576 | 0.00430036 / -0.00430036 | 0.044687 / -0.044687 | 0.0125853 / -0.0125853 | -0.0491352 / 0.0491352 | 0 / 0 | 0 / 0 | -0.015647 / 0.015647 | -nan / -nan |
 | btag B EV 0 | -0.0417048 / 0.0417048 | -0.0423353 / 0.0423353 | -0.0881471 / 0.0881471 | -0.082144 / 0.082144 | -0.0837449 / 0.0837449 | 0 / 0 | 0 / 0 | -0.114077 / 0.114077 | 0 / 0 | 0 / 0 | -0.101605 / 0.101605 | -0.0983537 / 0.0983537 | -0.109057 / 0.109057 | 0 / 0 | 0 / 0 | -0.0736647 / 0.0736647 | -nan / -nan |
 | btag B EV 1 | -0.0176242 / 0.0176242 | -0.0219323 / 0.0219323 | -0.0308319 / 0.0308319 | -0.0364236 / 0.0364236 | -0.0349943 / 0.0349943 | 0 / 0 | 0 / 0 | -0.0206268 / 0.0206268 | 0 / 0 | 0 / 0 | -0.0278979 / 0.0278979 | -0.0271943 / 0.0271943 | -0.0198528 / 0.0198528 | 0 / 0 | 0 / 0 | -0.0450203 / 0.0450203 | -nan / -nan |
 | btag B EV 2 | 0.0167703 / -0.0167703 | 0.00933121 / -0.00933121 | 0.0189189 / -0.0189189 | 0.0189391 / -0.0189391 | 0.0202724 / -0.0202724 | 0 / 0 | 0 / 0 | 0.0165542 / -0.0165542 | 0 / 0 | 0 / 0 | 0.0210131 / -0.0210131 | 0.015952 / -0.015952 | 0.0204736 / -0.0204736 | 0 / 0 | 0 / 0 | 0.0135398 / -0.0135398 | -nan / -nan |
