NUISANCE_PARAMETERS
SigXsecOverSM  0.033694 +0.568937 -0.568937
BTAG_EXTRAP  -0.146806 +0.992879 -0.992879
BTAG_EXTRAP_FROM_CHARM  0.00811874 +0.990704 -0.990704
Dibosons_XS_4j  0.00024012 +0.993246 -0.993246
Dibosons_XS_5j  0.00546277 +0.992098 -0.992098
Dibosons_XS_6j  -0.0112862 +0.995436 -0.995436
EG_RESOLUTION_ALL  3.22971e-05 +0.993347 -0.993347
EG_SCALE_ALL  -2.28315e-05 +0.993347 -0.993347
ELEC_ID  -8.70991e-07 +0.993347 -0.993347
JET_EffectiveNP_1  -0.267925 +0.958552 -0.958552
JET_EffectiveNP_2  0.0368684 +0.989874 -0.989874
JET_EffectiveNP_3  -0.026589 +0.993205 -0.993205
JET_EffectiveNP_4  0.0270376 +0.993188 -0.993188
JET_EffectiveNP_5  -3.73397e-06 +0.993347 -0.993347
JET_EffectiveNP_6  -6.12434e-06 +0.993345 -0.993345
JET_EffectiveNP_7  0.000610145 +0.994474 -0.994474
JET_EffectiveNP_8restTerm  3.48116e-06 +0.993347 -0.993347
JET_EtaIntercalibration_Modelling  0.135516 +0.982046 -0.982046
JET_EtaIntercalibration_NonClosure  0.0140599 +0.993652 -0.993652
JET_EtaIntercalibration_TotalStat  0.0275443 +0.989568 -0.989568
JET_Flavor_Composition  -0.0949157 +0.82541 -0.82541
JET_Flavor_Response  0.130068 +0.967092 -0.967092
JET_JER_SINGLE_NP__1up  -0.281724 +0.776345 -0.776345
JET_Pileup_OffsetMu  0.0883019 +0.989675 -0.989675
JET_Pileup_OffsetNPV  0.0553767 +0.989078 -0.989078
JET_Pileup_PtTerm  -0.0291344 +0.983152 -0.983152
JET_Pileup_RhoTopology  -0.508532 +0.887818 -0.887818
JET_PunchThrough_MC15  2.27546e-06 +0.993347 -0.993347
JVT_SF  -0.0268593 +0.990034 -0.990034
Lumi  -0.00775023 +0.971616 -0.971616
MET_SoftTrk_ResoPara  0.138753 +0.987901 -0.987901
MET_SoftTrk_ResoPerp  -0.00703036 +0.99346 -0.99346
MET_SoftTrk_Scale  -0.0029334 +0.993289 -0.993289
MUON_ID  0.00141724 +0.993379 -0.993379
MUON_ID_STAT  7.09173e-05 +0.993347 -0.993347
MUON_ID_SYS  6.68358e-05 +0.993346 -0.993346
MUON_MS  -0.00258279 +0.993299 -0.993299
MUON_SCALE  1.13606e-06 +0.993347 -0.993347
MUON_TRIG_STAT  7.30145e-05 +0.993347 -0.993347
MUON_TTVA_SYST  7.04136e-05 +0.993347 -0.993347
PILEUP_SYST  0.119404 +0.935824 -0.935824
QCDE_4j_2b  0.360983 +0.832743 -0.832743
QCDE_4j_3b  -0.150794 +0.72903 -0.72903
QCDE_4j_4b  -0.130652 +0.934997 -0.934997
QCDE_5j_2b  -0.171946 +0.711065 -0.711065
QCDE_5j_3b  0.276286 +0.836623 -0.836623
QCDE_5j_4b  -0.0949835 +1.00614 -1.00614
QCDE_6j_2b  -0.420765 +0.859446 -0.859446
QCDE_6j_3b  0.194398 +0.845757 -0.845757
QCDE_6j_4b  -0.323228 +0.954482 -0.954482
QCDMU_4j_2b  0.0727287 +0.971388 -0.971388
QCDMU_4j_3b  -0.457013 +0.889514 -0.889514
QCDMU_4j_4b  -0.0541382 +0.989626 -0.989626
QCDMU_5j_2b  -0.042161 +0.986746 -0.986746
QCDMU_5j_3b  -0.0590017 +0.997976 -0.997976
QCDMU_5j_4b  8.49088e-07 +0.993347 -0.993347
QCDMU_6j_2b  -0.0818317 +1.00424 -1.00424
QCDMU_6j_3b  0.111887 +0.958417 -0.958417
QCDMU_6j_4b  -0.0189885 +0.995828 -0.995828
SM4tops_XS  -0.0108126 +0.994696 -0.994696
Singletop_ref_SingletopWtDiagSub_fs  0.186059 +0.995957 -0.995957
Singletop_ref_SingletopWtprod_rad  -0.0240209 +0.993478 -0.993478
Singletop_ref_Singletopschan_rad  -0.000971186 +0.993345 -0.993345
Singletop_ref_Singletoptchan_rad  -0.0228127 +0.991908 -0.991908
TTBB_CSS_KIN  -0.214221 +0.910912 -0.910912
TTBB_GLOSOFT  0.190057 +0.976438 -0.976438
TTBB_MSTW  -0.10928 +0.990482 -0.990482
TTBB_Q_CMMPS  0.177491 +0.985868 -0.985868
TTBB_SCALE  0.182214 +0.977755 -0.977755
TTBB_UE  0.10934 +0.991397 -0.991397
Vjets_XS  0.00319125 +0.954074 -0.954074
Vjets_beautyXS  0.00289482 +0.954984 -0.954984
Vjets_charmXS  0.000359868 +0.99332 -0.99332
btag_B_EV_0  0.747966 +0.606377 -0.606377
btag_B_EV_1  0.25023 +0.971402 -0.971402
btag_B_EV_2  0.0136501 +0.987618 -0.987618
btag_B_EV_3  1.77442e-06 +0.993347 -0.993347
btag_C_EV_0  -0.709844 +0.544964 -0.544964
btag_L_EV_0  -0.437913 +0.826772 -0.826772
btag_L_EV_1  7.01171e-05 +0.993346 -0.993346
btag_L_EV_11  -0.0335561 +0.970864 -0.970864
btag_L_EV_13  -0.0495091 +0.950422 -0.950422
btag_L_EV_14  0.043824 +0.987306 -0.987306
btag_L_EV_15  -0.000156184 +0.993197 -0.993197
btag_L_EV_16  -0.188093 +0.990683 -0.990683
btag_L_EV_2  7.15732e-05 +0.993347 -0.993347
btag_L_EV_3  7.26576e-05 +0.993347 -0.993347
btag_L_EV_4  3.56889e-07 +0.993347 -0.993347
btag_L_EV_5  -7.02608e-05 +0.993347 -0.993347
btag_L_EV_6  7.25163e-05 +0.993347 -0.993347
signal_PS  0.00638277 +1.00246 -1.00246
signal_generator  0.00714448 +1.0003 -1.0003
signal_isr  0.00404444 +0.995665 -0.995665
singletop_XS  0.00379904 +0.993726 -0.993726
topEW_XS  -0.00904875 +0.993742 -0.993742
ttH_XS  0.00186475 +0.991991 -0.991991
ttbar_XS  -0.021476 +0.865511 -0.865511
ttbarbb_PS  -0.478964 +0.762856 -0.762856
ttbarbb_flavour  0.253456 +0.696192 -0.696192
ttbarbb_generator  -0.485818 +0.618043 -0.618043
ttbarbb_isr  -0.487863 +0.750612 -0.750612
ttbarcc_PS  0.547556 +0.897125 -0.897125
ttbarcc_XS  0.702663 +0.784459 -0.784459
ttbarcc_generator  0.720124 +0.836194 -0.836194
ttbarcc_isr  -0.0129434 +0.960358 -0.960358
ttbarlight_PS  0.179023 +0.845509 -0.845509
ttbarlight_generator  -0.20573 +0.823448 -0.823448
