 |       | 4jex-2bex | 4jex-3bex | 4jex-4bin | 5jex-2bex | 5jex-3bex | 5jex-4bin | 6jin-2bex | 6jin-3bex | 6jin-4bin | 
 | t#bar{t}+light | 82621.5 pm 4264.13 | 4858.7 pm 518.823 | 15.3465 pm 12.2475 | 37818.5 pm 3238.56 | 3454.78 pm 490.283 | 15.7777 pm 9.67883 | 19936.5 pm 2589.67 | 2534.76 pm 503.364 | 20.2684 pm 22.5954 | 
 | t#bar{t}+cc | 11506.9 pm 4904.11 | 1357.86 pm 559.086 | 5.84705 pm 4.13245 | 8423.38 pm 3544.87 | 2004.02 pm 769.903 | 39.2415 pm 18.243 | 7882.2 pm 3382.01 | 2994.49 pm 1159.14 | 58.6695 pm 25.2641 | 
 | t#bar{t}+bb | 4251.6 pm 582.791 | 3394.36 pm 349.278 | 109.819 pm 16.9307 | 3395.16 pm 461.812 | 4910.7 pm 454.328 | 355.411 pm 28.7838 | 3382.28 pm 477.663 | 7503.07 pm 755.024 | 1104.51 pm 81.7063 | 
 | topEW | 173.079 pm 27.5058 | 34.8528 pm 5.83154 | 2.68137 pm 0.544856 | 167.575 pm 25.9057 | 65.3101 pm 10.4542 | 8.17101 pm 1.4353 | 213.259 pm 34.1966 | 147.122 pm 23.8674 | 27.0436 pm 4.81305 | 
 | ttH | 62.3644 pm 7.68687 | 47.0985 pm 6.12803 | 4.66345 pm 0.676345 | 81.0067 pm 8.88862 | 98.5882 pm 11.5599 | 16.5847 pm 2.30085 | 134.824 pm 15.4613 | 241.158 pm 29.5737 | 61.8439 pm 8.85361 | 
 | W+jetslight | 6.13507 pm 6.3893 | 0.0116201 pm 0.0132907 | 4.02845e-06 pm 4.99603e-06 | 2.44131 pm 2.40995 | 0.00826541 pm 0.00945306 | 5.87917e-06 pm 7.24772e-06 | 1.14915 pm 1.10065 | 0.00749934 pm 0.00870701 | 9.93406e-06 pm 1.25256e-05 | 
 | W+jetscharm | 114.335 pm 58.9381 | 1.2012 pm 0.739442 | 0.00236534 pm 0.00177045 | 46.6404 pm 23.8845 | 0.708481 pm 0.4294 | 0.00219848 pm 0.00161836 | 21.3067 pm 11.1806 | 0.602915 pm 0.367103 | 0.0033632 pm 0.00250144 | 
 | W+jetsbeauty | 4703.24 pm 1820.68 | 259.059 pm 103.615 | 2.87629 pm 1.33878 | 2041.93 pm 813.152 | 168.089 pm 67.4743 | 6.00793 pm 2.81029 | 1181.48 pm 470.367 | 183.135 pm 74.9288 | 12.5225 pm 5.71541 | 
 | Z+jetslight | 1.61224 pm 1.56826 | 0.00371508 pm 0.00410231 | 1.37542e-06 pm 1.62263e-06 | 0.660309 pm 0.638369 | 0.00247802 pm 0.00277031 | 1.82807e-06 pm 2.22597e-06 | 0.302496 pm 0.276306 | 0.00214612 pm 0.002437 | 2.94066e-06 pm 3.60504e-06 | 
 | Z+jetscharm | 20.0931 pm 10.2875 | 0.190314 pm 0.116286 | 0.000325423 pm 0.000242886 | 8.2915 pm 4.22279 | 0.125729 pm 0.0764736 | 0.000448786 pm 0.000331408 | 4.4267 pm 2.2708 | 0.123439 pm 0.0747982 | 0.000748721 pm 0.000541698 | 
 | Z+jetsbeauty | 1849.44 pm 721.993 | 102.175 pm 40.9932 | 1.92736 pm 1.03118 | 694.989 pm 272.727 | 74.0053 pm 30.064 | 5.52952 pm 3.21096 | 352.457 pm 145.98 | 56.3764 pm 23.6708 | 3.56573 pm 2.21084 | 
 | Single-top | 6413.64 pm 895.418 | 398.794 pm 71.5816 | 8.09999 pm 3.38477 | 2597.72 pm 555.813 | 325.886 pm 73.1366 | 13.5907 pm 4.22921 | 1255.17 pm 370.047 | 323.317 pm 99.1294 | 28.0955 pm 10.2489 | 
 | Dibosons | 243.339 pm 84.6212 | 16.2643 pm 5.72764 | 0.495776 pm 0.223015 | 112.109 pm 48.238 | 12.5143 pm 5.46963 | 0.767999 pm 0.393524 | 82.5787 pm 40.3695 | 16.7647 pm 8.24942 | 1.71383 pm 0.911589 | 
 | QCDE | 7788.63 pm 3447.93 | 598.103 pm 229.471 | 20.0615 pm 14.1004 | 2670.37 pm 964.573 | 487.793 pm 224.323 | 3.60627 pm 4.81286 | 1223.88 pm 503.911 | 747.718 pm 339.266 | 28.5377 pm 24.7368 | 
 | QCDMU | 1250.71 pm 636.813 | 208.951 pm 98.668 | 9.02458 pm 8.47464 | 738.365 pm 370.942 | 71.1194 pm 44.7488 | 2e-05 pm 1.00366e-05 | 307.735 pm 164.175 | 107.198 pm 63.6214 | 8.52622 pm 8.06499 | 
 | SM-4tops | 0.101669 pm 0.0380598 | 0.0962671 pm 0.0365775 | 0.00732719 pm 0.00611273 | 0.365631 pm 0.128712 | 0.490356 pm 0.157228 | 0.054148 pm 0.0203205 | 5.14698 pm 1.54586 | 19.1663 pm 5.78682 | 4.97279 pm 1.54702 | 
 | t#rightarrow Hu | 31.8275 pm 1.79374 | 17.2168 pm 1.28268 | 0.338133 pm 0.235499 | 18.2536 pm 1.69042 | 13.8434 pm 1.26685 | 0.348373 pm 0.163693 | 10.2895 pm 1.50077 | 8.08807 pm 1.21445 | 0.513095 pm 0.150948 | 
 | Total | 121007 pm 2261.29 | 11277.7 pm 431.065 | 180.853 pm 23.8174 | 58799.5 pm 1465.66 | 11674.1 pm 460.406 | 464.746 pm 30.2351 | 35984.7 pm 1312.26 | 14875 pm 551.112 | 1360.27 pm 74.7837 | 
 | Data | 120572 | 11275 | 176 | 58557 | 11707 | 466 | 35886 | 14877 | 1335 | 
