 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0403797 / -0.0403797 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.056402 / -0.056402 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0108328 / 0.0108328 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.021374 / -0.021374 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0 / 0 | 0 / 0 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502714 / -0.0502714 | 0.0502714 / -0.0502714 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502715 / -0.0502715 |
 | Electron ID | 0.00329924 / -0.00329924 | 0.00343791 / -0.00343791 | 0.00355056 / -0.00355056 | 0.00390968 / -0.00390968 | 0.00388727 / -0.00388727 | 0.00376245 / -0.00376245 | 0.00381115 / -0.00381115 | 0.00409338 / -0.00409338 | 0.00529063 / -0.00529063 | 0.00496453 / -0.00496453 | 0.00516719 / -0.00516719 | 0.00350231 / -0.00350231 | 0.00436229 / -0.00436229 | 0 / 0 | 0 / 0 | 0.00507066 / -0.00507066 | 0.00352043 / -0.00352043 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000882924 / -0.000882924 | 0.000858992 / -0.000858992 | 0.000880778 / -0.000880778 | 0.000872344 / -0.000872344 | 0.000862449 / -0.000862449 | 0.000927091 / -0.000927091 | 0.000877172 / -0.000877172 | 0.000899851 / -0.000899851 | 0.000610173 / -0.000610173 | 0.000650585 / -0.000650585 | 0.000583023 / -0.000583023 | 0.000890255 / -0.000890255 | 0.000865877 / -0.000865877 | 0 / 0 | 0 / 0 | 0.00086686 / -0.00086686 | 0.000865757 / -0.000865757 |
