 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0561269 / -0.0561269 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.0607582 / -0.0607582 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.00436273 / 0.00436273 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00343631 / -0.00343631 | 0.0037392 / -0.0037392 | 0.00355806 / -0.00355806 | 0.00388429 / -0.00388429 | 0.0037878 / -0.0037878 | 0.00419362 / -0.00419362 | 0.00436678 / -0.00436678 | 0.00423027 / -0.00423027 | 0.005471 / -0.005471 | 0.0054979 / -0.0054979 | 0.00505464 / -0.00505464 | 0.00386497 / -0.00386497 | 0.00461174 / -0.00461174 | 0 / 0 | 0 / 0 | 0.00434737 / -0.00434737 | 0.00351475 / -0.00351475 |
 | Electron isol. | 0.000622356 / -0.000622356 | 0.00080941 / -0.00080941 | 0.000723858 / -0.000723858 | 0.00104227 / -0.00104227 | 0.00091844 / -0.00091844 | 0.0010099 / -0.0010099 | 0.00120064 / -0.00120064 | 0.00120504 / -0.00120504 | 0.00123478 / -0.00123478 | 0.00131777 / -0.00131777 | 0.00120434 / -0.00120434 | 0.00121898 / -0.00121898 | 0.00164132 / -0.00164132 | 0 / 0 | 0 / 0 | 0.00172906 / -0.00172906 | 0.000833325 / -0.000833325 |
 | Electron reco. | 0.000664569 / -0.000664569 | 0.000698414 / -0.000698414 | 0.000680647 / -0.000680647 | 0.000732731 / -0.000732731 | 0.000725862 / -0.000725862 | 0.000719635 / -0.000719635 | 0.000745146 / -0.000745146 | 0.000726491 / -0.000726491 | 0.000962955 / -0.000962955 | 0.00100268 / -0.00100268 | 0.00102105 / -0.00102105 | 0.000713335 / -0.000713335 | 0.000711775 / -0.000711775 | 0 / 0 | 0 / 0 | 0.000854968 / -0.000854968 | 0.000809352 / -0.000809352 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000879771 / -0.000879771 | 0.000856914 / -0.000856914 | 0.000888964 / -0.000888964 | 0.00088864 / -0.00088864 | 0.00088797 / -0.00088797 | 0.00092871 / -0.00092871 | 0.000881562 / -0.000881562 | 0.000978207 / -0.000978207 | 0.000620914 / -0.000620914 | 0.000706086 / -0.000706086 | 0.000734184 / -0.000734184 | 0.000936457 / -0.000936457 | 0.000944362 / -0.000944362 | 0 / 0 | 0 / 0 | 0.00104493 / -0.00104493 | 0.000930298 / -0.000930298 |
