 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0646373 / -0.0646373 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.0217978 / -0.0217978 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0369827 / 0.0369827 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0.022 / -0.022 | 0 / 0 | 0 / 0 | 0.022 / -0.022 | 0.022 / -0.022 |
 | t#bar{t} inclusive cross section | 0.055 / -0.061 | 0.055 / -0.061 | 0.055 / -0.061 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.055 / -0.061 |
 | Electron ID | 0.00271135 / -0.00271135 | 0.00301037 / -0.00301037 | 0.00358177 / -0.00358177 | 0.00377737 / -0.00377737 | 0.00375371 / -0.00375371 | 0.00421595 / -0.00421595 | 0.00449534 / -0.00449534 | 0.00432078 / -0.00432078 | 0.00540627 / -0.00540627 | 0.0052371 / -0.0052371 | 0.007232 / -0.007232 | 0.00319543 / -0.00319543 | 0.00962334 / -0.00962334 | 0 / 0 | 0 / 0 | 0.00472118 / -0.00472118 | 0.00384192 / -0.00384192 |
 | Electron isol. | 0.00109132 / -0.00109132 | 0.000907531 / -0.000907531 | 0.000565056 / -0.000565056 | 0.0010225 / -0.0010225 | 0.000936141 / -0.000936141 | 0.00103818 / -0.00103818 | 0.00149368 / -0.00149368 | 0.00157292 / -0.00157292 | 0.00122932 / -0.00122932 | 0.0012303 / -0.0012303 | 0.000939172 / -0.000939172 | 0.000398626 / -0.000398626 | 0.00410432 / -0.00410432 | 0 / 0 | 0 / 0 | 0.00342307 / -0.00342307 | 0.000489139 / -0.000489139 |
 | Electron reco. | 0.000718484 / -0.000718484 | 0.000489835 / -0.000489835 | 0.000718571 / -0.000718571 | 0.00071818 / -0.00071818 | 0.000703119 / -0.000703119 | 0.000722596 / -0.000722596 | 0.000746107 / -0.000746107 | 0.000661649 / -0.000661649 | 0.000946743 / -0.000946743 | 0.000906509 / -0.000906509 | 0.00185914 / -0.00185914 | 0.000541705 / -0.000541705 | 0.0008272 / -0.0008272 | 0 / 0 | 0 / 0 | 0.000870428 / -0.000870428 | 0.000761973 / -0.000761973 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000859298 / -0.000859298 | 0.000997463 / -0.000997463 | 0.000858739 / -0.000858739 | 0.000819426 / -0.000819426 | 0.00088482 / -0.00088482 | 0.000922316 / -0.000922316 | 0.000905575 / -0.000905575 | 0.00103775 / -0.00103775 | 0.000638451 / -0.000638451 | 0.000830967 / -0.000830967 | 0.000462021 / -0.000462021 | 0.00125578 / -0.00125578 | 0.00073907 / -0.00073907 | 0 / 0 | 0 / 0 | 0.000723502 / -0.000723502 | 0.000536533 / -0.000536533 |
