 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.0530191 / -0.0530191 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 0.0184542 / -0.0184542 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | -0.0311253 / 0.0311253 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213737 / -0.0213737 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0 / 0 | 0 / 0 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502714 / -0.0502714 |
 | Electron ID | 0.00265147 / -0.00265147 | 0.00296192 / -0.00296192 | 0.00359022 / -0.00359022 | 0.0037489 / -0.0037489 | 0.00372897 / -0.00372897 | 0.00419123 / -0.00419123 | 0.0044671 / -0.0044671 | 0.00429706 / -0.00429706 | 0.00537035 / -0.00537035 | 0.00520362 / -0.00520362 | 0.00719834 / -0.00719834 | 0.00313393 / -0.00313393 | 0.0095675 / -0.0095675 | 0 / 0 | 0 / 0 | 0.00467779 / -0.00467779 | 0.00381137 / -0.00381137 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.000859048 / -0.000859048 | 0.00099818 / -0.00099818 | 0.000847362 / -0.000847362 | 0.000814452 / -0.000814452 | 0.000879087 / -0.000879087 | 0.000915959 / -0.000915959 | 0.00089979 / -0.00089979 | 0.00102935 / -0.00102935 | 0.000634283 / -0.000634283 | 0.000824838 / -0.000824838 | 0.00045648 / -0.00045648 | 0.00125721 / -0.00125721 | 0.000734235 / -0.000734235 | 0 / 0 | 0 / 0 | 0.00072084 / -0.00072084 | 0.000535282 / -0.000535282 |
 | Muon ID (syst.) | 0.00296088 / -0.00296088 | 0.00387734 / -0.00387734 | 0.00331976 / -0.00331976 | 0.00358701 / -0.00358701 | 0.00351059 / -0.00351059 | 0.00414437 / -0.00414437 | 0.0040703 / -0.0040703 | 0.00452325 / -0.00452325 | 0.00300545 / -0.00300545 | 0.00417597 / -0.00417597 | 0.00258134 / -0.00258134 | 0.00402652 / -0.00402652 | 0.00304108 / -0.00304108 | 0 / 0 | 0 / 0 | 0.00320522 / -0.00320522 | 0.00150442 / -0.00150442 |
 | Muon Trig. (stat.) | 0.00291177 / -0.00291177 | 0.00257205 / -0.00257205 | 0.00250019 / -0.00250019 | 0.00270488 / -0.00270488 | 0.00264627 / -0.00264627 | 0.00254693 / -0.00254693 | 0.0027362 / -0.0027362 | 0.00247063 / -0.00247063 | 0.00183201 / -0.00183201 | 0.00198762 / -0.00198762 | 0.00115568 / -0.00115568 | 0.00290889 / -0.00290889 | 0.00277553 / -0.00277553 | 0 / 0 | 0 / 0 | 0.00284891 / -0.00284891 | 0.00266378 / -0.00266378 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (syst.) | 0.000578304 / -0.000578304 | 0.000364094 / -0.000364094 | 0.000415438 / -0.000415438 | 0.000361088 / -0.000361088 | 0.000388294 / -0.000388294 | 0.000230395 / -0.000230395 | 0.000269023 / -0.000269023 | 0.00015665 / -0.00015665 | 0.00017637 / -0.00017637 | 0.000128362 / -0.000128362 | 0.000161028 / -0.000161028 | 0.000373531 / -0.000373531 | 0.000349776 / -0.000349776 | 0 / 0 | 0 / 0 | 0.000235245 / -0.000235245 | 0.000465577 / -0.000465577 |
 | Pile-up uncertainty | -0.0623023 / 0.0623023 | 0.182932 / -0.182932 | 0.00760464 / -0.00760464 | -0.0141367 / 0.0141367 | -0.0272499 / 0.0272499 | 0.0175941 / -0.0175941 | 0.00835999 / -0.00835999 | -0.0692532 / 0.0692532 | 0.001526 / -0.001526 | -0.0321988 / 0.0321988 | 0.189205 / -0.189205 | 0.0554836 / -0.0554836 | 0.0114032 / -0.0114032 | 0 / 0 | 0 / 0 | -0.0807785 / 0.0807785 | -0.0878429 / 0.0878429 |
 | btag B EV 0 | -0.0467665 / 0.0467665 | -0.0519324 / 0.0519324 | -0.0900747 / 0.0900747 | -0.0855477 / 0.0855477 | -0.0851737 / 0.0851737 | 0 / 0 | 0 / 0 | -0.112217 / 0.112217 | 0 / 0 | 0 / 0 | -0.100064 / 0.100064 | -0.0988406 / 0.0988406 | -0.108067 / 0.108067 | 0 / 0 | 0 / 0 | -0.0799635 / 0.0799635 | -0.0739135 / 0.0739135 |
 | btag B EV 1 | -0.0173951 / 0.0173951 | -0.0139686 / 0.0139686 | -0.0300062 / 0.0300062 | -0.0374892 / 0.0374892 | -0.036023 / 0.036023 | 0 / 0 | 0 / 0 | -0.0239042 / 0.0239042 | 0 / 0 | 0 / 0 | -0.0365536 / 0.0365536 | -0.0277587 / 0.0277587 | -0.0259668 / 0.0259668 | 0 / 0 | 0 / 0 | -0.0569286 / 0.0569286 | -0.0344888 / 0.0344888 |
 | btag B EV 2 | 0.0133798 / -0.0133798 | 0.0122446 / -0.0122446 | 0.0207222 / -0.0207222 | 0.0203189 / -0.0203189 | 0.022163 / -0.022163 | 0 / 0 | 0 / 0 | 0.0171711 / -0.0171711 | 0 / 0 | 0 / 0 | 0.0157617 / -0.0157617 | 0.0195373 / -0.0195373 | 0.0187467 / -0.0187467 | 0 / 0 | 0 / 0 | 0.00979521 / -0.00979521 | 0.0267213 / -0.0267213 |
