 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | t#bar{t}+light generator | 0.113009 / -0.113009 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light PS & Had | 1.02282 / -1.02282 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+light ISR/FSR | 0.0820203 / -0.0820203 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Luminosity | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213738 / -0.0213738 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 | 0.0213739 / -0.0213739 | 0 / 0 | 0 / 0 | 0.0213738 / -0.0213738 | 0.0213739 / -0.0213739 |
 | t#bar{t} inclusive cross section | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0.0502715 / -0.0502715 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0502714 / -0.0502714 |
 | Electron ID | 0.00297952 / -0.00297952 | 0.00300335 / -0.00300335 | 0.00355478 / -0.00355478 | 0.00381105 / -0.00381105 | 0.00373588 / -0.00373588 | 0.00424119 / -0.00424119 | 0.00414443 / -0.00414443 | 0.00349813 / -0.00349813 | 0.00587741 / -0.00587741 | 0.00635977 / -0.00635977 | 0.00578724 / -0.00578724 | 0.00371943 / -0.00371943 | 0.00420413 / -0.00420413 | 0 / 0 | 0 / 0 | 0.0040969 / -0.0040969 | 0.00252984 / -0.00252984 |
 | Electron isol. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron reco. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron trig. eff | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon ID (stat.) | 0.0010774 / -0.0010774 | 0.00101919 / -0.00101919 | 0.000937392 / -0.000937392 | 0.000880745 / -0.000880745 | 0.000881336 / -0.000881336 | 0.000939178 / -0.000939178 | 0.00108675 / -0.00108675 | 0.00113747 / -0.00113747 | 0.000668258 / -0.000668258 | 0.000587831 / -0.000587831 | 0.000631922 / -0.000631922 | 0.000801299 / -0.000801299 | 0.000845817 / -0.000845817 | 0 / 0 | 0 / 0 | 0.000904069 / -0.000904069 | 0.00105621 / -0.00105621 |
 | Muon ID (syst.) | 0.00451742 / -0.00451742 | 0.00497662 / -0.00497662 | 0.00385932 / -0.00385932 | 0.00373972 / -0.00373972 | 0.00370838 / -0.00370838 | 0.00456302 / -0.00456302 | 0.00534332 / -0.00534332 | 0.00509679 / -0.00509679 | 0.00301632 / -0.00301632 | 0.00262988 / -0.00262988 | 0.00360293 / -0.00360293 | 0.00449973 / -0.00449973 | 0.00445516 / -0.00445516 | 0 / 0 | 0 / 0 | 0.00421966 / -0.00421966 | 0.00434034 / -0.00434034 |
 | Muon Trig. (stat.) | 0.003135 / -0.003135 | 0.00281282 / -0.00281282 | 0.0027912 / -0.0027912 | 0.00270224 / -0.00270224 | 0.00277977 / -0.00277977 | 0.00274251 / -0.00274251 | 0.002965 / -0.002965 | 0.00294922 / -0.00294922 | 0.00170814 / -0.00170814 | 0.00149672 / -0.00149672 | 0.00177762 / -0.00177762 | 0.00287829 / -0.00287829 | 0.00282865 / -0.00282865 | 0 / 0 | 0 / 0 | 0.0027424 / -0.0027424 | 0.0036592 / -0.0036592 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (syst.) | 0.000557022 / -0.000557022 | 0.000518701 / -0.000518701 | 0.000387815 / -0.000387815 | 0.000397468 / -0.000397468 | 0.000421176 / -0.000421176 | 0.000239717 / -0.000239717 | 0.000258693 / -0.000258693 | 0.000269207 / -0.000269207 | 0.000168314 / -0.000168314 | 0.000193817 / -0.000193817 | 0.000241751 / -0.000241751 | 0.00040667 / -0.00040667 | 0.000336541 / -0.000336541 | 0 / 0 | 0 / 0 | 0.000406399 / -0.000406399 | 0.000631612 / -0.000631612 |
